experiment,T,residual_type,r_used,r_selected,branch,n,n_valid_ARI,n_d_hat_zero,mean_d_hat,sd_d_hat,mean_ARI,sd_ARI
baing_jj2_bridge,1500,estimated,6,6,full_pipeline,2,2,0,2.5,0.7071067811865476,0.21906634828816937,0.14377565816294446
baing_jj2_bridge,1500,estimated,6,6,mp_fixed_k,2,2,0,2.5,0.7071067811865476,0.3067911186756188,0.17101382693958148
baing_jj2_bridge,1500,estimated,6,6,oracle,2,2,0,2.5,0.7071067811865476,0.2780626716543503,0.12618347853129774
baing_jj2_bridge,1500,estimated,7,7,full_pipeline,3,3,0,3.6666666666666665,0.5773502691896258,0.04678255952676738,0.05619369190801469
baing_jj2_bridge,1500,estimated,7,7,mp_fixed_k,3,3,0,3.6666666666666665,0.5773502691896258,0.05969679737402842,0.03385324624732803
baing_jj2_bridge,1500,estimated,7,7,oracle,3,3,0,3.6666666666666665,0.5773502691896258,0.05584047032445567,0.04052114094961779
manual_r_sweep,1500,estimated,3,,full_pipeline,5,5,0,4.0,0.0,0.08566912155239685,0.08794621419015303
manual_r_sweep,1500,estimated,3,,mp_fixed_k,5,5,0,4.0,0.0,0.08566912155239685,0.08794621419015303
manual_r_sweep,1500,estimated,3,,oracle,5,5,0,4.0,0.0,0.08566912155239685,0.08794621419015303
manual_r_sweep,1500,estimated,5,,full_pipeline,5,5,0,2.6,0.5477225575051661,0.47838232166421946,0.18379300131931545
manual_r_sweep,1500,estimated,5,,mp_fixed_k,5,5,0,2.6,0.5477225575051661,0.6392131481392568,0.10479187262536312
manual_r_sweep,1500,estimated,5,,oracle,5,5,0,2.6,0.5477225575051661,0.6714191558006615,0.08143512942552839
manual_r_sweep,1500,estimated,7,,full_pipeline,5,5,0,3.6,0.5477225575051661,0.03725638992682582,0.048439408236688436
manual_r_sweep,1500,estimated,7,,mp_fixed_k,5,5,0,3.6,0.5477225575051661,0.049288004537159244,0.03256903988360812
manual_r_sweep,1500,estimated,7,,oracle,5,5,0,3.6,0.5477225575051661,0.0462266455053571,0.036403166783410906
paired_T_true_residual,1000,true,,,full_pipeline,5,5,0,2.0,0.0,0.32653061224489793,0.0
paired_T_true_residual,1000,true,,,mp_fixed_k,5,5,0,2.0,0.0,0.7840798038874451,0.08779261669929707
paired_T_true_residual,1000,true,,,oracle,5,5,0,2.0,0.0,0.8300158623680278,0.10130709695876843
paired_T_true_residual,1500,true,,,full_pipeline,5,5,0,2.0,0.0,0.32653061224489793,0.0
paired_T_true_residual,1500,true,,,mp_fixed_k,5,5,0,2.0,0.0,0.7763536852034136,0.12375325138725361
paired_T_true_residual,1500,true,,,oracle,5,5,0,2.0,0.0,0.9309297643895548,0.08570083863525696
paired_T_true_residual,200,true,,,full_pipeline,5,5,0,2.0,0.0,0.3258137722649487,0.005677527835702976
paired_T_true_residual,200,true,,,mp_fixed_k,5,5,0,2.0,0.0,0.587437346684297,0.06910361808953279
paired_T_true_residual,200,true,,,oracle,5,5,0,2.0,0.0,0.571741592408199,0.10367585013755731
paired_T_true_residual,3000,true,,,full_pipeline,5,5,0,2.6,0.5477225575051661,0.5553910059599062,0.20892000026203916
paired_T_true_residual,3000,true,,,mp_fixed_k,5,5,0,2.6,0.5477225575051661,0.9580329310884614,0.02946411532849031
paired_T_true_residual,3000,true,,,oracle,5,5,0,2.6,0.5477225575051661,0.978903908903243,0.028887012422194314
paired_T_true_residual,500,true,,,full_pipeline,5,5,0,2.0,0.0,0.3253707080248676,0.002593624683376636
paired_T_true_residual,500,true,,,mp_fixed_k,5,5,0,2.0,0.0,0.6764940168439763,0.05627712802648392
paired_T_true_residual,500,true,,,oracle,5,5,0,2.0,0.0,0.7043420732139983,0.08820628220178146
