branch,T_window,n_worlds,mean_d_hat_mean,mean_d_hat_sd,mean_d_hat_mcse,mean_d_hat_ci_low,mean_d_hat_ci_high,Pr_dhat_ge_1_mean,Pr_dhat_ge_1_sd,Pr_dhat_ge_1_mcse,Pr_dhat_ge_1_ci_low,Pr_dhat_ge_1_ci_high,Pr_dhat_ge_2_mean,Pr_dhat_ge_2_sd,Pr_dhat_ge_2_mcse,Pr_dhat_ge_2_ci_low,Pr_dhat_ge_2_ci_high,Pr_dhat_ge_3_mean,Pr_dhat_ge_3_sd,Pr_dhat_ge_3_mcse,Pr_dhat_ge_3_ci_low,Pr_dhat_ge_3_ci_high,Pr_dhat_ge_4_mean,Pr_dhat_ge_4_sd,Pr_dhat_ge_4_mcse,Pr_dhat_ge_4_ci_low,Pr_dhat_ge_4_ci_high,Pr_dhat_ge_5_mean,Pr_dhat_ge_5_sd,Pr_dhat_ge_5_mcse,Pr_dhat_ge_5_ci_low,Pr_dhat_ge_5_ci_high,Pr_dhat_ge_6_mean,Pr_dhat_ge_6_sd,Pr_dhat_ge_6_mcse,Pr_dhat_ge_6_ci_low,Pr_dhat_ge_6_ci_high
iid_marginal,200,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid_marginal,500,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid_marginal,1000,20,2.001,0.004472135954999582,0.0010000000000000007,1.9989069759455915,2.003093024054408,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.001,0.00447213595499958,0.001,-0.0010930240544082632,0.0030930240544082633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid_marginal,1500,20,2.0149999999999997,0.01933091333916524,0.004322523629353092,2.0059528540680156,2.0240471459319838,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.015,0.01933091333916522,0.004322523629353087,0.005952854068015882,0.024047145931984117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iid_marginal,3000,20,2.396,0.22586442137287854,0.05050481998884128,2.290292196899796,2.501707803100204,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3949999999999999,0.22345375124926506,0.04996577776206852,0.29042042524677303,0.4995795747532268,0.001,0.00447213595499958,0.001,-0.0010930240544082632,0.0030930240544082633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released_replay_validation,200,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released_replay_validation,500,20,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released_replay_validation,1000,20,2.05,0.22360679774997894,0.04999999999999999,1.9453487972795867,2.1546512027204128,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.05,0.22360679774997894,0.04999999999999999,-0.05465120272041313,0.15465120272041313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released_replay_validation,1500,20,2.05,0.22360679774997894,0.04999999999999999,1.9453487972795867,2.1546512027204128,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.05,0.22360679774997894,0.04999999999999999,-0.05465120272041313,0.15465120272041313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released_replay_validation,3000,20,2.5,0.512989176042577,0.11470786693528086,2.259913675274595,2.740086324725405,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.512989176042577,0.11470786693528086,0.2599136752745949,0.740086324725405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
