branch,T_window,d_hat,n_observations,n_total,frequency
iid_marginal,200,2,1000,1000,1.0
iid_marginal,500,2,1000,1000,1.0
iid_marginal,1000,2,999,1000,0.999
iid_marginal,1000,3,1,1000,0.001
iid_marginal,1500,2,985,1000,0.985
iid_marginal,1500,3,15,1000,0.015
iid_marginal,3000,2,605,1000,0.605
iid_marginal,3000,3,394,1000,0.394
iid_marginal,3000,4,1,1000,0.001
released_replay_validation,200,2,20,20,1.0
released_replay_validation,500,2,20,20,1.0
released_replay_validation,1000,2,19,20,0.95
released_replay_validation,1000,3,1,20,0.05
released_replay_validation,1500,2,19,20,0.95
released_replay_validation,1500,3,1,20,0.05
released_replay_validation,3000,2,10,20,0.5
released_replay_validation,3000,3,10,20,0.5
var_burnin_500,200,1,5,1000,0.005
var_burnin_500,200,2,995,1000,0.995
var_burnin_500,500,2,1000,1000,1.0
var_burnin_500,1000,2,996,1000,0.996
var_burnin_500,1000,3,4,1000,0.004
var_burnin_500,1500,2,967,1000,0.967
var_burnin_500,1500,3,33,1000,0.033
var_burnin_500,3000,2,577,1000,0.577
var_burnin_500,3000,3,413,1000,0.413
var_burnin_500,3000,4,10,1000,0.01
var_stationary_start,200,1,12,1000,0.012
var_stationary_start,200,2,988,1000,0.988
var_stationary_start,500,2,1000,1000,1.0
var_stationary_start,1000,2,997,1000,0.997
var_stationary_start,1000,3,3,1000,0.003
var_stationary_start,1500,2,976,1000,0.976
var_stationary_start,1500,3,24,1000,0.024
var_stationary_start,3000,2,607,1000,0.607
var_stationary_start,3000,3,385,1000,0.385
var_stationary_start,3000,4,8,1000,0.008
var_zero_start,200,1,15,1000,0.015
var_zero_start,200,2,985,1000,0.985
var_zero_start,500,2,1000,1000,1.0
var_zero_start,1000,2,997,1000,0.997
var_zero_start,1000,3,3,1000,0.003
var_zero_start,1500,2,976,1000,0.976
var_zero_start,1500,3,24,1000,0.024
var_zero_start,3000,2,605,1000,0.605
var_zero_start,3000,3,387,1000,0.387
var_zero_start,3000,4,8,1000,0.008
