family,test,metric,branch_a,branch_b,T_window,mean,sd,se,t_stat,p_value,ci_low,ci_high,n,deltas,p_holm,holm_significant
S,j3_T200,Pr_dhat_ge_3,var_stationary_start,iid_marginal,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j3_T500,Pr_dhat_ge_3,var_stationary_start,iid_marginal,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j3_T1000,Pr_dhat_ge_3,var_stationary_start,iid_marginal,1000.0,0.002,0.00894427190999916,0.002,1.0,0.32987680092112504,-0.0021860481088165264,0.0061860481088165265,20,"{""0"": 0.0, ""1"": -0.02, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.02, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.02, ""15"": 0.0, ""16"": 0.0, ""17"": 0.02, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j3_T1500,Pr_dhat_ge_3,var_stationary_start,iid_marginal,1500.0,0.009000000000000001,0.023819496658255217,0.005326201371768774,1.68975961887284,0.107416034985714,-0.0021478675897343303,0.02014786758973433,20,"{""0"": 0.04, ""1"": 0.0, ""2"": 0.0, ""3"": -0.02, ""4"": 0.04, ""5"": 0.0, ""6"": -0.02, ""7"": 0.0, ""8"": 0.02, ""9"": 0.0, ""10"": 0.019999999999999997, ""11"": 0.0, ""12"": 0.06, ""13"": -0.02, ""14"": 0.04, ""15"": -0.02, ""16"": 0.0, ""17"": 0.04000000000000001, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j3_T3000,Pr_dhat_ge_3,var_stationary_start,iid_marginal,3000.0,-0.002000000000000001,0.10029430376856431,0.022426488098252314,-0.08918025823917834,0.9298719980335199,-0.048939179045542715,0.04493917904554271,20,"{""0"": 0.08000000000000002, ""1"": 0.10000000000000003, ""2"": 0.03999999999999998, ""3"": 0.10000000000000003, ""4"": -0.020000000000000018, ""5"": 0.040000000000000036, ""6"": -0.06, ""7"": 0.12, ""8"": 0.0, ""9"": -0.18000000000000005, ""10"": -0.020000000000000018, ""11"": -0.24, ""12"": 0.08000000000000002, ""13"": 0.020000000000000018, ""14"": -0.06, ""15"": -0.07999999999999999, ""16"": -0.1, ""17"": 0.15999999999999992, ""18"": 0.0, ""19"": -0.020000000000000004}",1.0,False
S,j4_T200,Pr_dhat_ge_4,var_stationary_start,iid_marginal,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j4_T500,Pr_dhat_ge_4,var_stationary_start,iid_marginal,500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j4_T1000,Pr_dhat_ge_4,var_stationary_start,iid_marginal,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j4_T1500,Pr_dhat_ge_4,var_stationary_start,iid_marginal,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.0, ""9"": 0.0, ""10"": 0.0, ""11"": 0.0, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.0, ""18"": 0.0, ""19"": 0.0}",1.0,False
S,j4_T3000,Pr_dhat_ge_4,var_stationary_start,iid_marginal,3000.0,0.006999999999999999,0.027739388677664224,0.00620271587375452,1.1285379086311236,0.27314161094473755,-0.005982433526428178,0.019982433526428176,20,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0, ""5"": 0.0, ""6"": 0.0, ""7"": 0.0, ""8"": 0.02, ""9"": 0.0, ""10"": -0.02, ""11"": 0.02, ""12"": 0.0, ""13"": 0.0, ""14"": 0.0, ""15"": 0.0, ""16"": 0.0, ""17"": 0.12, ""18"": 0.0, ""19"": 0.0}",1.0,False
