world_index,structural_seed,run_id,lyap_residual_rel,finite_sum_converged,finite_sum_k_used,finite_sum_last_ratio,sum_vs_lyap_close,corr_is_finite,corr_is_symmetric,corr_positive_diagonal,corr_unit_diagonal,corr_is_psd,corr_min_eig,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_2_minus_theta_3,theta_4_minus_theta_5,theta_3_over_theta_2,theta_4_over_theta_2
0,3674827978,formal_20260818,6.202920157846766e-15,True,176,9.199835704618793e-13,True,True,True,True,True,True,0.702694823870212,6.341903876151276,4.4643384322902335,1.2847218763325707,1.2240196586650387,1.0203634339857495,1.0143444808628506,1.0093739219058564,1.0083523812309754,3.179616555957663,0.20365622467928923,0.2877743020198181,0.27417716582860163
1,162215,formal_20260818,5.70715587972802e-15,True,152,9.79008401754381e-13,True,True,True,True,True,True,0.7332651049349198,5.966831373208642,4.431192056219032,1.2870485659888393,1.2341089824226992,1.015411310076916,1.0132430432736272,1.0116359864550626,1.0069796150018089,3.144143490230193,0.2186976723457832,0.2904519934274817,0.27850496362274973
2,2951145736,formal_20260818,5.1346692343960035e-15,True,120,8.823119553640983e-13,True,True,True,True,True,True,0.7858596859175717,5.09851844333705,3.9781216962959487,1.2486155593169292,1.1860768236380101,1.0184894867123886,1.0171253631809167,1.0114590392567067,1.0086740426520515,2.7295061369790194,0.16758733692562156,0.3138706290658534,0.29814995975170216
3,3141226789,formal_20260818,5.913459164681689e-15,True,194,9.380303894519597e-13,True,True,True,True,True,True,0.693982953620843,6.85704409783349,4.461611610398592,1.2865235208490295,1.2238224700872191,1.0200030614476567,1.0160408200119424,1.0100355168803317,1.0072779578345805,3.175088089549562,0.20381940863956238,0.28835399250139887,0.2743005391224283
4,827407145,formal_20260818,5.680497704979605e-15,True,174,8.758776097274776e-13,True,True,True,True,True,True,0.685411661032939,6.349646220954384,4.47373816243669,1.2909902728349394,1.23571304050279,1.0152445457805084,1.0107647861496918,1.0075232042407358,1.0059443781306427,3.1827478896017505,0.2204684947222817,0.2885708161632289,0.27621487794666555
5,4112232398,formal_20260818,5.751745355964759e-15,True,123,9.88355269391235e-13,True,True,True,True,True,True,0.7756331138253366,5.232147944233574,4.23161074198252,1.28464005551561,1.2203215334591295,1.0226297551245194,1.0206222372587594,1.0137046695784704,1.0108733586089318,2.94697068646691,0.19769177833461016,0.3035818117130861,0.2883822751823827
6,3620073301,formal_20260818,5.692946389218592e-15,True,120,9.517556664140629e-13,True,True,True,True,True,True,0.7764385427964223,5.00429468172965,3.4913036726566093,1.2537136310478676,1.193209079922808,1.0193283754362865,1.0171518237468753,1.0158968409687936,1.0109269516841128,2.2375900416087418,0.17388070448652138,0.35909612815028763,0.3417660541155015
7,2175964406,formal_20260818,5.283635319890937e-15,True,120,9.34923912244551e-13,True,True,True,True,True,True,0.8029372748251917,4.825972831017813,3.263209806701048,1.2528231662252454,1.1993217290705491,1.0193731414863578,1.0162199578857336,1.014799183598201,1.010349859158195,2.0103866404758026,0.1799485875841913,0.3839235723221213,0.36752823143878915
8,1271978911,formal_20260818,5.75486152901905e-15,True,120,9.155139850245704e-13,True,True,True,True,True,True,0.8003054916105814,4.919490420581478,3.5068424566061496,1.2757812822700343,1.2006418801579573,1.0162037671861648,1.013792439954215,1.012793283984993,1.0092617496883092,2.2310611743361153,0.18443811297179247,0.36379771776366293,0.34237120572559565
9,2148785807,formal_20260818,5.464353883091185e-15,True,122,8.654680142427185e-13,True,True,True,True,True,True,0.7929026012137216,5.206201043352302,4.183504772414918,1.308693632548331,1.197788467817849,1.0188455477356475,1.0156966742868665,1.0098382537557369,1.0085961660035567,2.874811139866587,0.17894292008220147,0.3128223113733633,0.2863122030398518
