T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
200,2.914213562373095,2,True,True,"[6.517555685637556, 4.7944443248107405, 2.555660470460733, 2.3374474448571947, 2.282342210807181, 2.2504968703929333, 2.1598152810705233, 2.1091107908255826]",3.6033421232644613,1,1.8802307624376455,1,-0.35855309191236184,0,-0.5767661175159002,0,-0.631871351565914,0,-0.6637166919801616,0,formal_20260818,0,3674827978,iid_marginal,0.0
500,2.0944271909999155,2,True,True,"[6.144320777806433, 4.32113392812813, 1.842356274051682, 1.7828023422274206, 1.7736017377775637, 1.711209370665508, 1.670248526081474, 1.6678734919907534]",4.049893586806517,1,2.226706737128214,1,-0.2520709169482336,0,-0.31162484877249486,0,-0.3208254532223518,0,-0.38321782033440743,0,formal_20260818,0,3674827978,iid_marginal,0.0
1000,1.732455532033676,2,True,True,"[6.160564680342486, 4.603343185719879, 1.6055625140482617, 1.566525282998644, 1.546439054820761, 1.4685317628488412, 1.4486930570734349, 1.4445527565192497]",4.42810914830881,1,2.870887653686203,1,-0.1268930179854144,0,-0.16593024903503206,0,-0.18601647721291514,0,-0.26392376918483484,0,formal_20260818,0,3674827978,iid_marginal,0.0
1500,1.5830644461609886,2,True,True,"[6.319726198297128, 4.588028391633342, 1.484564851732821, 1.4619002790844282, 1.4401349917313095, 1.375399120107287, 1.3606431293016958, 1.3447021902757645]",4.73666175213614,1,3.004963945472354,1,-0.09849959442816769,0,-0.12116416707656041,0,-0.14292945442967908,0,-0.20766532605370158,0,formal_20260818,0,3674827978,iid_marginal,0.0
3000,1.3984817050034442,2,True,True,"[6.403428490941893, 4.491404318495306, 1.3760605209572763, 1.3507040510510098, 1.288205071268755, 1.2447118971355036, 1.232717633862283, 1.2197667822786222]",5.004946785938449,1,3.0929226134918615,1,-0.022421184046167886,0,-0.047777653952434385,0,-0.11027663373468921,0,-0.1537698078679406,0,formal_20260818,0,3674827978,iid_marginal,0.0
200,2.914213562373095,2,True,True,"[6.695409285256375, 4.728740795362313, 2.595705454424497, 2.375797366758748, 2.3537423966625575, 2.2510532119072013, 2.176267505997114, 2.16089201057622]",3.7811957228832798,1,1.8145272329892181,1,-0.3185081079485981,0,-0.5384161956143467,0,-0.5604711657105375,0,-0.6631603504658936,0,formal_20260818,0,3674827978,iid_marginal,1.0
500,2.0944271909999155,2,True,True,"[6.861713927216446, 4.561422040802791, 1.884198348688053, 1.7824640758229449, 1.730414801371433, 1.696897306195646, 1.6802872000151725, 1.6607859164887722]",4.76728673621653,1,2.4669948498028753,1,-0.21022884231186256,0,-0.3119631151769706,0,-0.36401238962848237,0,-0.39752988480426943,0,formal_20260818,0,3674827978,iid_marginal,1.0
1000,1.732455532033676,2,True,True,"[6.677371396261675, 4.258403189727418, 1.6410295886651665, 1.573555968689189, 1.5080757105028406, 1.4834193471079433, 1.4614577036278, 1.421246102684069]",4.944915864227999,1,2.525947657693742,1,-0.09142594336850962,0,-0.15889956334448718,0,-0.22437982153083547,0,-0.24903618492573276,0,formal_20260818,0,3674827978,iid_marginal,1.0
1500,1.5830644461609886,2,True,True,"[6.675857804124845, 4.200260485984168, 1.5234743714599546, 1.4600663264585987, 1.4486127367837642, 1.389757735467265, 1.3441659862617068, 1.3341687377761433]",5.092793357963856,1,2.6171960398231793,1,-0.05959007470103406,0,-0.12299811970238994,0,-0.1344517093772244,0,-0.19330671069372363,0,formal_20260818,0,3674827978,iid_marginal,1.0
3000,1.3984817050034442,3,True,True,"[6.46400980833189, 4.266372386785645, 1.400325458430187, 1.349554576637221, 1.290187985505832, 1.254253031049893, 1.2399964156345582, 1.2321940796709643]",5.065528103328446,1,2.8678906817822005,1,0.0018437534267428113,1,-0.04892712836622315,0,-0.10829371949761213,0,-0.1442286739535512,0,formal_20260818,0,3674827978,iid_marginal,1.0
