world_index,branch,T_window,n_paths,mean_d_hat,sd_d_hat,Pr_dhat_ge_1,Pr_dhat_ge_2,Pr_dhat_ge_3,Pr_dhat_ge_4,Pr_dhat_ge_5,Pr_dhat_ge_6
0,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,iid_marginal,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,iid_marginal,3000,50,2.38,0.4903143514780145,1.0,1.0,0.38,0.0,0.0,0.0
0,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
0,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
0,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
0,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
0,released_replay_validation,3000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
0,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_burnin_500,1000,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
0,var_burnin_500,1500,50,2.04,0.1979486637221575,1.0,1.0,0.04,0.0,0.0,0.0
0,var_burnin_500,3000,50,2.56,0.5014265364224069,1.0,1.0,0.56,0.0,0.0,0.0
0,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_stationary_start,1500,50,2.04,0.19794866372215744,1.0,1.0,0.04,0.0,0.0,0.0
0,var_stationary_start,3000,50,2.46,0.5034574339058886,1.0,1.0,0.46,0.0,0.0,0.0
0,var_zero_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,var_zero_start,1500,50,2.04,0.19794866372215744,1.0,1.0,0.04,0.0,0.0,0.0
0,var_zero_start,3000,50,2.46,0.5034574339058886,1.0,1.0,0.46,0.0,0.0,0.0
1,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,iid_marginal,1000,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
1,iid_marginal,1500,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
1,iid_marginal,3000,50,2.36,0.48487322138506106,1.0,1.0,0.36,0.0,0.0,0.0
1,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
1,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
1,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
1,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
1,released_replay_validation,3000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
1,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_burnin_500,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
1,var_burnin_500,3000,50,2.56,0.5014265364224069,1.0,1.0,0.56,0.0,0.0,0.0
1,var_stationary_start,200,50,1.98,0.1414213562373094,1.0,0.98,0.0,0.0,0.0,0.0
1,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_stationary_start,1500,50,2.02,0.14142135623730934,1.0,1.0,0.02,0.0,0.0,0.0
1,var_stationary_start,3000,50,2.46,0.5034574339058886,1.0,1.0,0.46,0.0,0.0,0.0
1,var_zero_start,200,50,1.98,0.1414213562373094,1.0,0.98,0.0,0.0,0.0,0.0
1,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,var_zero_start,1500,50,2.02,0.14142135623730934,1.0,1.0,0.02,0.0,0.0,0.0
1,var_zero_start,3000,50,2.48,0.5046720495044484,1.0,1.0,0.48,0.0,0.0,0.0
2,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,iid_marginal,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,iid_marginal,3000,50,2.14,0.3505098327538654,1.0,1.0,0.14,0.0,0.0,0.0
2,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
2,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
2,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
2,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
2,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
2,var_burnin_500,200,50,1.98,0.14142135623730936,1.0,0.98,0.0,0.0,0.0,0.0
2,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_burnin_500,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_burnin_500,3000,50,2.22,0.41845195759648046,1.0,1.0,0.22,0.0,0.0,0.0
2,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_stationary_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_stationary_start,3000,50,2.18,0.3880879344916035,1.0,1.0,0.18,0.0,0.0,0.0
2,var_zero_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_zero_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2,var_zero_start,3000,50,2.18,0.3880879344916035,1.0,1.0,0.18,0.0,0.0,0.0
3,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,iid_marginal,1500,50,2.02,0.14142135623730936,1.0,1.0,0.02,0.0,0.0,0.0
3,iid_marginal,3000,50,2.46,0.5034574339058886,1.0,1.0,0.46,0.0,0.0,0.0
3,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
3,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
3,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
3,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
3,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
3,var_burnin_500,200,50,1.98,0.14142135623730942,1.0,0.98,0.0,0.0,0.0,0.0
3,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_burnin_500,1500,50,2.02,0.14142135623730936,1.0,1.0,0.02,0.0,0.0,0.0
3,var_burnin_500,3000,50,2.48,0.5046720495044485,1.0,1.0,0.48,0.0,0.0,0.0
3,var_stationary_start,200,50,1.98,0.14142135623730934,1.0,0.98,0.0,0.0,0.0,0.0
3,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_stationary_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_stationary_start,3000,50,2.56,0.5014265364224069,1.0,1.0,0.56,0.0,0.0,0.0
3,var_zero_start,200,50,1.98,0.14142135623730934,1.0,0.98,0.0,0.0,0.0,0.0
3,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_zero_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,var_zero_start,3000,50,2.56,0.5014265364224069,1.0,1.0,0.56,0.0,0.0,0.0
4,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,iid_marginal,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,iid_marginal,3000,50,2.5,0.5050762722761054,1.0,1.0,0.5,0.0,0.0,0.0
4,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
4,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
4,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
4,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
4,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
4,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_burnin_500,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
4,var_burnin_500,3000,50,2.6,0.5345224838248488,1.0,1.0,0.58,0.02,0.0,0.0
4,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_stationary_start,1500,50,2.04,0.19794866372215747,1.0,1.0,0.04,0.0,0.0,0.0
4,var_stationary_start,3000,50,2.48,0.5046720495044484,1.0,1.0,0.48,0.0,0.0,0.0
4,var_zero_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,var_zero_start,1500,50,2.04,0.19794866372215747,1.0,1.0,0.04,0.0,0.0,0.0
4,var_zero_start,3000,50,2.48,0.5046720495044484,1.0,1.0,0.48,0.0,0.0,0.0
5,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,iid_marginal,1500,50,2.02,0.14142135623730942,1.0,1.0,0.02,0.0,0.0,0.0
5,iid_marginal,3000,50,2.48,0.5046720495044485,1.0,1.0,0.48,0.0,0.0,0.0
5,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
5,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
5,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
5,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
5,released_replay_validation,3000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
5,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_burnin_500,1500,50,2.02,0.14142135623730936,1.0,1.0,0.02,0.0,0.0,0.0
5,var_burnin_500,3000,50,2.5,0.5439837932759934,1.0,1.0,0.48,0.02,0.0,0.0
5,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_stationary_start,1000,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
5,var_stationary_start,1500,50,2.02,0.14142135623730948,1.0,1.0,0.02,0.0,0.0,0.0
5,var_stationary_start,3000,50,2.52,0.5046720495044485,1.0,1.0,0.52,0.0,0.0,0.0
5,var_zero_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,var_zero_start,1000,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
5,var_zero_start,1500,50,2.02,0.14142135623730948,1.0,1.0,0.02,0.0,0.0,0.0
5,var_zero_start,3000,50,2.52,0.5046720495044485,1.0,1.0,0.52,0.0,0.0,0.0
6,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,iid_marginal,1500,50,2.02,0.14142135623730948,1.0,1.0,0.02,0.0,0.0,0.0
6,iid_marginal,3000,50,2.24,0.4314191105869001,1.0,1.0,0.24,0.0,0.0,0.0
6,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
6,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
6,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
6,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
6,released_replay_validation,3000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
6,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_burnin_500,1500,50,2.02,0.1414213562373094,1.0,1.0,0.02,0.0,0.0,0.0
6,var_burnin_500,3000,50,2.22,0.41845195759648046,1.0,1.0,0.22,0.0,0.0,0.0
6,var_stationary_start,200,50,1.96,0.1979486637221575,1.0,0.96,0.0,0.0,0.0,0.0
6,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_stationary_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
