sequence,metric,step,required_sign,mean,sd,mcse,ci_low,ci_high,p_value,n,sign_ci_ok,replication_sign_frequency_positive,replication_sign_frequency_negative,p_holm,step_supported
under_factor_contamination,UMP_Q_F_unique_purity,r1_to_r2,negative,-0.11994717286429975,0.05693837559139053,0.012731807835076402,-0.14659515291921824,-0.09329919280938125,1.3633004372509195e-08,20,True,0,20,1.3633004372509195e-08,True
under_factor_contamination,UMP_Q_F_unique_purity,r2_to_r3,negative,-0.09345927820067271,0.010591262045169386,0.0023682781900512193,-0.09841614141998037,-0.08850241498136505,1.0709167823691066e-19,20,True,0,20,2.1418335647382133e-19,True
under_factor_contamination,UMP_Q_F_unique_purity,r3_to_r4,negative,-0.14670628572293642,0.010882290578032004,0.002433354148338504,-0.15179935448830303,-0.14161321695756982,3.629945081838615e-23,20,True,0,20,1.0889835245515844e-22,True
under_factor_contamination,UMP_Q_F_unique_purity,r4_to_r5,negative,-0.2873215929040283,0.020221616909500847,0.00452169100246031,-0.29678560093877915,-0.2778575848692775,1.343641948654049e-23,20,True,0,20,5.374567794616196e-23,True
under_community_recovery,U4_Q_C_capture,r1_to_r2,positive,0.2350385807996928,0.024364970211907866,0.005448172966358344,0.22363542372852796,0.24644173787085766,2.005497595334461e-20,20,True,20,0,8.021990381337844e-20,True
under_community_recovery,U4_Q_C_capture,r2_to_r3,positive,0.1373991930714876,0.02926458196994939,0.006543759461792154,0.12370294711169495,0.15109543903128025,1.3128757959766374e-14,20,True,20,0,3.938627387929912e-14,True
under_community_recovery,U4_Q_C_capture,r3_to_r4,positive,0.054342912774889195,0.03450985862156983,0.007716638977173732,0.0381918017764802,0.07049402377329819,1.0546236594449902e-06,20,True,19,1,2.1092473188899805e-06,True
under_community_recovery,U4_Q_C_capture,r4_to_r5,positive,0.030742072037485958,0.02833352761690042,0.006335569379375696,0.017481572928080197,0.04400257114689172,0.0001106638748647449,20,True,16,4,0.0001106638748647449,True
over_total_community_removal,Qextra_r_Q_C_capture_or_shared_energy,r5_to_r6,positive,0.2616649558550165,0.02363083830298842,0.005284016081078788,0.2506053830934385,0.27272452861659446,1.4922301424384431e-21,20,True,20,0,5.9689205697537724e-21,True
over_total_community_removal,Qextra_r_Q_C_capture_or_shared_energy,r6_to_r7,positive,0.1553762214461997,0.02723806044773489,0.006090615473638357,0.14262841675372345,0.16812402613867594,3.6659462494599026e-16,20,True,20,0,1.0997838748379707e-15,True
over_total_community_removal,Qextra_r_Q_C_capture_or_shared_energy,r7_to_r8,positive,0.04397866868406018,0.02190370283562443,0.004897816849941112,0.03372742020304733,0.054229917165073034,2.8948880814838242e-08,20,True,20,0,5.7897761629676484e-08,True
over_total_community_removal,Qextra_r_Q_C_capture_or_shared_energy,r8_to_r9,positive,0.027785173703723198,0.015325488596323511,0.0034268834289777205,0.020612624255219758,0.03495772315222664,1.372502517191837e-07,20,True,20,0,1.372502517191837e-07,True
over_residual_community_geometry,U4_Q_C_capture,r5_to_r6,negative,-0.2683841570222264,0.020371406940984077,0.004555185071735144,-0.2779182689496495,-0.2588500450948033,5.607850541963812e-23,20,True,0,20,2.243140216785525e-22,True
over_residual_community_geometry,U4_Q_C_capture,r6_to_r7,negative,-0.1571859835906971,0.024756971670596564,0.005535827157249045,-0.16877260299186586,-0.14559936418952835,5.0360057318189146e-17,20,True,0,20,1.5108017195456744e-16,True
over_residual_community_geometry,U4_Q_C_capture,r7_to_r8,negative,-0.027153241384046824,0.023939009442793594,0.005352925242809584,-0.038357042678696475,-0.015949440089397172,6.761874536537356e-05,20,True,2,18,0.00013523749073074713,True
over_residual_community_geometry,U4_Q_C_capture,r8_to_r9,negative,-0.013972248832324664,0.014148208529927238,0.003163635603275967,-0.02059381424936366,-0.007350683415285668,0.00029637702757131037,20,True,2,18,0.00029637702757131037,True
