family,test,metric,required_sign,mean,sd,se,t_stat,p_value,ci_low,ci_high,n,r_test,r_ref,deltas,p_holm,directional_ci_ok,holm_significant,test_supported
U1,r1_vs_r5,UMP_Q_F_unique_purity,positive,0.6474343296919371,0.0645089302798941,0.014424635326163773,44.88393051556764,9.514767397234719e-21,0.6172432209782092,0.6776254384056651,20,1,5.0,"{""0"": 0.6162822115270894, ""1"": 0.637705337276854, ""2"": 0.6134155524116979, ""3"": 0.6351176990204677, ""4"": 0.5594492161412169, ""5"": 0.6998392087716505, ""6"": 0.6825955980698178, ""7"": 0.7623654168345931, ""8"": 0.7138689716356804, ""9"": 0.6104642900544156, ""10"": 0.592885189241023, ""11"": 0.6481798285034633, ""12"": 0.5962096877642853, ""13"": 0.5678575241577969, ""14"": 0.7446651473867713, ""15"": 0.5757347126491725, ""16"": 0.6052657112439161, ""17"": 0.663130836192091, ""18"": 0.6442463057111442, ""19"": 0.7794081492455963}",9.514767397234719e-21,True,True,True
U1,r2_vs_r5,UMP_Q_F_unique_purity,positive,0.5274871568276374,0.024382933757915937,0.005452189737357444,96.74776231894283,4.675897716851429e-27,0.5160755925581504,0.5388987210971243,20,2,5.0,"{""0"": 0.509898447353156, ""1"": 0.5348077199327178, ""2"": 0.5044213461347631, ""3"": 0.4742408057876504, ""4"": 0.497880220802436, ""5"": 0.5234129291382219, ""6"": 0.5279495023203872, ""7"": 0.5830022270086599, ""8"": 0.5156826480745617, ""9"": 0.5556735969490655, ""10"": 0.5170834338693805, ""11"": 0.5454699449159417, ""12"": 0.5337880932119143, ""13"": 0.5054068035268718, ""14"": 0.5352743438511092, ""15"": 0.5172699499236029, ""16"": 0.5360742145746538, ""17"": 0.5631540025332578, ""18"": 0.5281057106525915, ""19"": 0.5411471959918053}",1.8703590867405717e-26,True,True,True
U1,r3_vs_r5,UMP_Q_F_unique_purity,positive,0.43402787862696474,0.022808238489281474,0.005100077170906049,85.10221788464781,5.319111168342216e-26,0.42335329442891995,0.4447024628250095,20,3,5.0,"{""0"": 0.41522838289141256, ""1"": 0.4605870432442105, ""2"": 0.41323574949104375, ""3"": 0.38190655216382363, ""4"": 0.41178936169984637, ""5"": 0.43920752339148567, ""6"": 0.43046698318243126, ""7"": 0.4721305297129579, ""8"": 0.42599140122600854, ""9"": 0.4616600937897256, ""10"": 0.42622034126457065, ""11"": 0.45607828574198817, ""12"": 0.44253338248794283, ""13"": 0.41026544887261995, ""14"": 0.42712683049416744, ""15"": 0.4194102750163738, ""16"": 0.4450440684821081, ""17"": 0.461673484740708, ""18"": 0.4551647392934693, ""19"": 0.4248370953523998}",1.5957333505026647e-25,True,True,True
U1,r4_vs_r5,UMP_Q_F_unique_purity,positive,0.2873215929040283,0.020221616909500847,0.00452169100246031,63.542951685042816,1.343641948654049e-23,0.2778575848692775,0.29678560093877915,20,4,5.0,"{""0"": 0.2706918708734602, ""1"": 0.31040035407617395, ""2"": 0.29048757907483475, ""3"": 0.2363678915863521, ""4"": 0.27265759803139167, ""5"": 0.29826069355462753, ""6"": 0.27973663653923214, ""7"": 0.31584897123950295, ""8"": 0.27350898246566646, ""9"": 0.3053989290029804, ""10"": 0.2756161379901646, ""11"": 0.30170856264982393, ""12"": 0.2851469329887237, ""13"": 0.25180213509116367, ""14"": 0.3000178415481852, ""15"": 0.2953943719501417, ""16"": 0.2949981877250962, ""17"": 0.30574582776727194, ""18"": 0.3047963428014865, ""19"": 0.2778460111242863}",2.687283897308098e-23,True,True,True
U2,r1_vs_r5,U4_Q_C_capture,negative,-0.4575227586835557,0.05663483621193934,0.012663934366446306,-36.12801088860535,5.612881945334831e-19,-0.48402867793597526,-0.4310168394311361,20,1,5.0,"{""0"": -0.5070166734476296, ""1"": -0.4176195449503662, ""2"": -0.40607313906877207, ""3"": -0.5000421867461669, ""4"": -0.4706374803165325, ""5"": -0.5147092882065578, ""6"": -0.3584031859357201, ""7"": -0.5073310376659198, ""8"": -0.4140902718239139, ""9"": -0.5277473431165375, ""10"": -0.49172110784955103, ""11"": -0.458392348236062, ""12"": -0.42005969600558146, ""13"": -0.4551462851769449, ""14"": -0.39762051083180266, ""15"": -0.4462161197300414, ""16"": -0.47133418345005107, ""17"": -0.5844722575313218, ""18"": -0.42174153082911037, ""19"": -0.38008098275252955}",2.2451527781339324e-18,True,True,True
U2,r2_vs_r5,U4_Q_C_capture,negative,-0.2224841778838628,0.052004443843000056,0.011628547156501853,-19.132585944708108,7.119606689135184e-14,-0.24682300680024197,-0.19814534896748362,20,2,5.0,"{""0"": -0.2849194570887773, ""1"": -0.148811229918756, ""2"": -0.1585360970514214, ""3"": -0.2523768200880382, ""4"": -0.23573851614137026, ""5"": -0.2787585995370997, ""6"": -0.18331290141158213, ""7"": -0.2599042882568823, ""8"": -0.18411610314580162, ""9"": -0.2908522833419434, ""10"": -0.2485514726480576, ""11"": -0.19534483868988423, ""12"": -0.1742869935866751, ""13"": -0.23666530735353541, ""14"": -0.21398538132489747, ""15"": -0.24108539000836748, ""16"": -0.20966288240803582, ""17"": -0.3310788259490263, ""18"": -0.18007025976866115, ""19"": -0.14162590995844243}",2.1358820067405551e-13,True,True,True
U2,r3_vs_r5,U4_Q_C_capture,negative,-0.08508498481237517,0.04133505482008632,0.009242799243139335,-9.205542885239158,1.9626302475957468e-08,-0.10443038595833229,-0.06573958366641805,20,3,5.0,"{""0"": -0.1337285312956561, ""1"": -0.050734711432701585, ""2"": -0.05454092628518481, ""3"": -0.13432095414769452, ""4"": -0.09964873407408231, ""5"": -0.1313299698226542, ""6"": -0.014994380424790732, ""7"": -0.08849428754731731, ""8"": -0.07680147831239414, ""9"": -0.13978825270775136, ""10"": -0.12103370584567985, ""11"": -0.08176767595028955, ""12"": -0.033035281245550996, ""13"": -0.05429063153232261, ""14"": -0.08574609189696208, ""15"": -0.045018735288385237, ""16"": -0.09699098585551341, ""17"": -0.15709980503014515, ""18"": -0.07384525942823228, ""19"": -0.028489298124194984}",3.9252604951914936e-08,True,True,True
U2,r4_vs_r5,U4_Q_C_capture,negative,-0.030742072037485958,0.02833352761690042,0.006335569379375696,-4.852298222407796,0.0001106638748647449,-0.04400257114689172,-0.017481572928080197,20,4,5.0,"{""0"": -0.03318629677931717, ""1"": -0.013846622477873605, ""2"": -0.06501801766432452, ""3"": -0.019209829476549256, ""4"": -0.03175834714291648, ""5"": -0.08697924931713286, ""6"": 0.00654290592719331, ""7"": -0.055232363236983384, ""8"": -0.01721640744826386, ""9"": -0.04262004355594995, ""10"": -0.04447153131371384, ""11"": -0.022817592795539243, ""12"": 0.007791080618276602, ""13"": 0.03177302065354404, ""14"": -0.03477402240976363, ""15"": -0.0417608760233425, ""16"": -0.04679586937459129, ""17"": -0.05281881730000437, ""18"": -0.05457800672334412, ""19"": 0.002135445090876986}",0.0001106638748647449,True,True,True
O1,r6_level,Qextra_r_Q_C_unique_excess_purity,positive,0.8212049563761827,0.06043448112980901,0.013513560799118123,60.768954133078935,3.125303584032681e-23,0.7929207485629199,0.8494891641894455,20,6,,"{""0"": 0.7373847730215632, ""1"": 0.8974489425607153, ""2"": 0.9069024692670208, ""3"": 0.7784360905045076, ""4"": 0.8137207743052237, ""5"": 0.808756892761138, ""6"": 0.7658242598818765, ""7"": 0.7737053529479455, ""8"": 0.8330843620633149, ""9"": 0.8534288700371061, ""10"": 0.8777649115440689, ""11"": 0.9200315460344806, ""12"": 0.7983495381810696, ""13"": 0.7261347893914437, ""14"": 0.7650210584083058, ""15"": 0.7409385065054965, ""16"": 0.8953920953402746, ""17"": 0.8210598719113945, ""18"": 0.836568030568249, ""19"": 0.8741459922884574}",3.125303584032681e-23,True,True,True
O1,r7_level,Qextra_r_Q_C_unique_excess_purity,positive,0.650132364562893,0.018102740079176786,0.004047895739604922,160.60995795962535,3.107711306573367e-31,0.6416600214101632,0.6586047077156229,20,7,,"{""0"": 0.6412465436958611, ""1"": 0.6591669767154826, ""2"": 0.6309629719382563, ""3"": 0.6193269363473651, ""4"": 0.6719291790227848, ""5"": 0.6721525188226969, ""6"": 0.660464758674392, ""7"": 0.6603221469465039, ""8"": 0.625597595401947, ""9"": 0.6573329619516874, ""10"": 0.6500934851617461, ""11"": 0.6334674822156302, ""12"": 0.6431642908298767, ""13"": 0.6572489851491737, ""14"": 0.6266644075407882, ""15"": 0.6818963133898711, ""16"": 0.6437024755614299, ""17"": 0.677283942853161, ""18"": 0.6543512168422838, ""19"": 0.6362721021969207}",1.2430845226293468e-30,True,True,True
