run_id,replication,structural_seed,forecast_origin_index,target_index,r_used,space_type,rank_Q_Rr,rank_Q_R5,expected_rank,rank_Qspace,rank_ok,nesting_max_all_adjacent,nesting_ok,Qspace_Q_F_dim_U,Qspace_Q_F_dim_Q,Qspace_Q_F_shared_energy,Qspace_Q_F_purity,Qspace_Q_F_capture,Qspace_Q_F_expected_random_purity,Qspace_Q_F_expected_random_capture,Qspace_Q_F_excess_purity,Qspace_Q_F_excess_capture,Qspace_Q_F_largest_canonical_correlation,Qspace_Q_F_smallest_principal_angle,Qspace_Q_F_canonical_correlations,Qspace_Q_F_principal_angles,Qspace_Q_F_unique_dim_U,Qspace_Q_F_unique_dim_Q,Qspace_Q_F_unique_shared_energy,Qspace_Q_F_unique_purity,Qspace_Q_F_unique_capture,Qspace_Q_F_unique_expected_random_purity,Qspace_Q_F_unique_expected_random_capture,Qspace_Q_F_unique_excess_purity,Qspace_Q_F_unique_excess_capture,Qspace_Q_F_unique_largest_canonical_correlation,Qspace_Q_F_unique_smallest_principal_angle,Qspace_Q_F_unique_canonical_correlations,Qspace_Q_F_unique_principal_angles,Qspace_Q_C_dim_U,Qspace_Q_C_dim_Q,Qspace_Q_C_shared_energy,Qspace_Q_C_purity,Qspace_Q_C_capture,Qspace_Q_C_expected_random_purity,Qspace_Q_C_expected_random_capture,Qspace_Q_C_excess_purity,Qspace_Q_C_excess_capture,Qspace_Q_C_largest_canonical_correlation,Qspace_Q_C_smallest_principal_angle,Qspace_Q_C_canonical_correlations,Qspace_Q_C_principal_angles,Qspace_Q_C_unique_dim_U,Qspace_Q_C_unique_dim_Q,Qspace_Q_C_unique_shared_energy,Qspace_Q_C_unique_purity,Qspace_Q_C_unique_capture,Qspace_Q_C_unique_expected_random_purity,Qspace_Q_C_unique_expected_random_capture,Qspace_Q_C_unique_excess_purity,Qspace_Q_C_unique_excess_capture,Qspace_Q_C_unique_largest_canonical_correlation,Qspace_Q_C_unique_smallest_principal_angle,Qspace_Q_C_unique_canonical_correlations,Qspace_Q_C_unique_principal_angles,Qspace_Q_C_full_dim_U,Qspace_Q_C_full_dim_Q,Qspace_Q_C_full_shared_energy,Qspace_Q_C_full_purity,Qspace_Q_C_full_capture,Qspace_Q_C_full_expected_random_purity,Qspace_Q_C_full_expected_random_capture,Qspace_Q_C_full_excess_purity,Qspace_Q_C_full_excess_capture,Qspace_Q_C_full_largest_canonical_correlation,Qspace_Q_C_full_smallest_principal_angle,Qspace_Q_C_full_canonical_correlations,Qspace_Q_C_full_principal_angles,Qspace_Q_P4_dim_U,Qspace_Q_P4_dim_Q,Qspace_Q_P4_shared_energy,Qspace_Q_P4_purity,Qspace_Q_P4_capture,Qspace_Q_P4_expected_random_purity,Qspace_Q_P4_expected_random_capture,Qspace_Q_P4_excess_purity,Qspace_Q_P4_excess_capture,Qspace_Q_P4_largest_canonical_correlation,Qspace_Q_P4_smallest_principal_angle,Qspace_Q_P4_canonical_correlations,Qspace_Q_P4_principal_angles
fullgrid_formal_20260817,0,3674827978,0,1001,1,missing,1,5,4,4,True,1.816264583883632e-15,True,4,5,3.982261244400878,0.9955653111002195,0.7964522488801756,0.05,0.04,0.9455653111002195,0.7564522488801756,0.9994326472462066,0.033686982948988524,"[0.9994326472462066, 0.999007574962038, 0.9984753156793925, 0.9941964278585611]","[0.033686982948988524, 0.04455534160256539, 0.05522810737161779, 0.10778863038640706]",4,5,3.798314748994696,0.949578687248674,0.7596629497989392,0.05,0.04,0.899578687248674,0.7196629497989392,0.9987843778655351,0.04931264551540009,"[0.9987843778655351, 0.9985801606480188, 0.9841288764416033, 0.9138230314674809]","[0.04931264551540009, 0.05329494290989065, 0.17840002379261727, 0.4181960554475039]",4,3,0.19174098612187448,0.04793524653046862,0.06391366204062483,0.03,0.04,0.017935246530468622,0.023913662040624832,0.4013310113921448,1.1578267672052336,"[0.4013310113921448, 0.17139432073755378, 0.036033210178183964]","[1.1578267672052336, 1.3985515682996397, 1.5347553145172148]",4,3,0.007794490715693635,0.0019486226789234087,0.002598163571897878,0.03,0.04,-0.02805137732107659,-0.037401836428102124,0.08812918960005664,1.4825526570054788,"[0.08812918960005664, 0.004582103114043398, 0.0025963411145642616]","[1.4825526570054788, 1.5662142076466483, 1.5681999827633397]",4,0,,,,,,,,,,[],[],4,4,0.20124734956369614,0.050311837390924034,0.050311837390924034,0.04,0.04,0.010311837390924034,0.010311837390924034,0.4044828377155431,1.154383052453719,"[0.4044828377155431, 0.15273607104595743, 0.11819838367794427, 0.018488327524237878]","[1.154383052453719, 1.4174600880795658, 1.452320976162289, 1.552306945833972]"
fullgrid_formal_20260817,0,3674827978,0,1001,2,missing,2,5,3,3,True,1.816264583883632e-15,True,3,5,2.9844793399983356,0.9948264466661119,0.5968958679996671,0.05,0.03,0.9448264466661118,0.5668958679996671,0.9993198415095825,0.03688456606767676,"[0.9993198415095825, 0.9984753361497842, 0.9944275727594111]","[0.03688456606767676, 0.05522773653018651, 0.10561827748119695]",3,5,2.83607774552438,0.9453592485081267,0.567215549104876,0.05,0.03,0.8953592485081266,0.537215549104876,0.9987009413230032,0.050977250482497745,"[0.9987009413230032, 0.9845390841535002, 0.9323931397748023]","[0.050977250482497745, 0.1760733989589759, 0.36981801216857846]",3,3,0.15569706938975464,0.05189902312991821,0.05189902312991821,0.03,0.03,0.02189902312991821,0.02189902312991821,0.3556446474093421,1.2071926080921171,"[0.3556446474093421, 0.16944430597528243, 0.02241832579373945]","[1.2071926080921171, 1.400530532419568, 1.5483761227376642]",3,3,0.007295474915799735,0.0024318249719332452,0.0024318249719332452,0.03,0.03,-0.027568175028066754,-0.027568175028066754,0.08528335779138373,1.4854092479555836,"[0.08528335779138373, 0.004579646802522884, 0.0011183178397511106]","[1.4854092479555836, 1.5662166639839414, 1.569678008722044]",3,0,,,,,,,,,,[],[],3,4,0.16077362918971755,0.05359120972990585,0.04019340729742939,0.04,0.03,0.013591209729905851,0.010193407297429388,0.3579964662476415,1.2046750659763035,"[0.3579964662476415, 0.15222495182157164, 0.09715823890354865]","[1.2046750659763035, 1.4179772548108196, 1.4734845770816416]"
fullgrid_formal_20260817,0,3674827978,0,1001,4,missing,4,5,1,1,True,1.816264583883632e-15,True,1,5,0.9925995977474924,0.9925995977474924,0.1985199195494985,0.05,0.01,0.9425995977474924,0.18851991954949848,0.9962929276811576,0.08613204958959045,[0.9962929276811576],[0.08613204958959045],1,5,0.8895628429051562,0.8895628429051562,0.17791256858103124,0.05,0.01,0.8395628429051561,0.16791256858103124,0.943166391950623,0.3387632278479593,[0.943166391950623],[0.3387632278479593],1,3,0.10631671620321273,0.10631671620321273,0.03543890540107091,0.03,0.01,0.07631671620321273,0.02543890540107091,0.3260624421843349,1.238660952910772,[0.3260624421843349],[1.238660952910772],1,3,0.0032799613608772457,0.0032799613608772457,0.0010933204536257486,0.03,0.01,-0.026720038639122753,-0.008906679546374252,0.05727094691793777,1.5134940258280143,[0.05727094691793777],[1.5134940258280143],1,0,,,,,,,,,,[],[],1,4,0.10410510323910664,0.10410510323910664,0.02602627580977666,0.04,0.01,0.06410510323910665,0.016026275809776662,0.32265322443624617,1.2422650295153477,[0.32265322443624617],[1.2422650295153477]
fullgrid_formal_20260817,0,3674827978,0,1001,6,extra,6,5,1,1,True,1.816264583883632e-15,True,1,5,0.0042718393036583965,0.0042718393036583965,0.0008543678607316793,0.05,0.01,-0.045728160696341606,-0.009145632139268322,0.0653593092348626,1.5053903938004902,[0.0653593092348626],[1.5053903938004902],1,0,,,,,,,,,,[],[],1,3,0.720770903437477,0.720770903437477,0.2402569678124923,0.03,0.01,0.6907709034374769,0.2302569678124923,0.8489822751020641,0.5567399956646526,[0.8489822751020641],[0.5567399956646526],1,3,0.7753324202954986,0.7753324202954986,0.25844414009849953,0.03,0.01,0.7453324202954986,0.24844414009849952,0.8805296248823765,0.4938179103828325,[0.8805296248823765],[0.4938179103828325],1,4,0.8903034928319237,0.8903034928319237,0.22257587320798092,0.04,0.01,0.8503034928319236,0.2125758732079809,0.9435589503745506,0.33757997752503904,[0.9435589503745506],[0.33757997752503904],1,4,0.9172037627452234,0.9172037627452234,0.22930094068630585,0.04,0.01,0.8772037627452234,0.21930094068630585,0.9577075559612253,0.29186970029265247,[0.9577075559612253],[0.29186970029265247]
fullgrid_formal_20260817,0,3674827978,0,1001,8,extra,8,5,3,3,True,1.816264583883632e-15,True,3,5,0.008035813835488079,0.0026786046118293595,0.0016071627670976158,0.05,0.03,-0.047321395388170644,-0.028392837232902382,0.08800297564460018,1.4826793632611341,"[0.08800297564460018, 0.015361703598222974, 0.007436946668111255]","[1.4826793632611341, 1.5554340189517426, 1.5633593115710869]",3,0,,,,,,,,,,[],[],3,3,1.2619256830108774,0.42064189433695914,0.42064189433695914,0.03,0.03,0.3906418943369592,0.3906418943369592,0.9187424202032293,0.4059126323147547,"[0.9187424202032293, 0.6430734977022226, 0.06553262456990416]","[0.4059126323147547, 0.8722913672363303, 1.5052167060986976]",3,3,1.4070453076864229,0.46901510256214096,0.46901510256214096,0.03,0.03,0.43901510256214094,0.43901510256214094,0.9805955197333674,0.19731985545982245,"[0.9805955197333674, 0.6641515471401479, 0.06618501942749278]","[0.19731985545982245, 0.8444379869875104, 1.504562891766421]",3,4,1.8623786489621756,0.6207928829873919,0.4655946622405439,0.04,0.03,0.5807928829873918,0.4355946622405439,0.9663675193551848,0.2600873465250341,"[0.9663675193551848, 0.9134411469554138, 0.30681873728027126]","[0.2600873465250341, 0.41913540422285, 1.2589475804946755]",3,4,1.9069447007785894,0.6356482335928632,0.47673617519464734,0.04,0.03,0.5956482335928631,0.44673617519464737,0.9799829946215799,0.20042027959116246,"[0.9799829946215799, 0.9217377351494258, 0.31141223263179124]","[0.20042027959116246, 0.39825858727645047, 1.2541175249200909]"
fullgrid_formal_20260817,0,3674827978,0,1001,9,extra,9,5,4,4,True,1.816264583883632e-15,True,4,5,0.008179892101426077,0.0020449730253565192,0.0016359784202852154,0.05,0.04,-0.04795502697464348,-0.03836402157971479,0.08801812478120447,1.4826641551099462,"[0.08801812478120447, 0.016315879803123625, 0.011058906983745035, 0.006647890943847868]","[1.4826641551099462, 1.5544797230022653, 1.5597371943824199, 1.5641483868834232]",4,0,,,,,,,,,,[],[],4,3,1.2950467890498178,0.32376169726245446,0.43168226301660595,0.03,0.04,0.2937616972624545,0.39168226301660597,0.9197731736071204,0.4032942082907218,"[0.9197731736071204, 0.6617144642716069, 0.10582091445571613]","[0.4032942082907218, 0.8476931702875209, 1.4647769121722807]",4,3,1.4403890047974488,0.3600972511993622,0.48012966826581627,0.03,0.04,0.3300972511993622,0.4401296682658163,0.9809543956676191,0.19548078734446644,"[0.9809543956676191, 0.6830726422807771, 0.10737431622777648]","[0.19548078734446644, 0.8188348449265157, 1.4632146086091335]",4,4,1.9164997581636,0.4791249395409,0.4791249395409,0.04,0.04,0.43912493954090004,0.43912493954090004,0.9663907505464616,0.2599969954307912,"[0.9663907505464616, 0.9143596621280843, 0.381365406729679, 0.03309849308909325]","[0.2599969954307912, 0.41687270090595613, 1.1795234449825467, 1.5376917874349296]",4,4,1.9713480813710365,0.4928370203427591,0.4928370203427591,0.04,0.04,0.45283702034275913,0.45283702034275913,0.9800102933602739,0.2002831096515977,"[0.9800102933602739, 0.9223718135308422, 0.39508203687214083, 0.06378344631432055]","[0.2002831096515977, 0.39662039006480254, 1.1646391754945122, 1.5069695524472362]"
fullgrid_formal_20260817,0,3674827978,20,1021,1,missing,1,5,4,4,True,2.0461228097495573e-15,True,4,5,3.9813315882838918,0.9953328970709729,0.7962663176567784,0.05,0.04,0.9453328970709729,0.7562663176567783,0.9994173485244107,0.034138191657997925,"[0.9994173485244107, 0.9990288164062697, 0.9985060881729041, 0.9936918876713552]","[0.034138191657997925, 0.04407586264726655, 0.054667795591906564, 0.11238109764867264]",4,5,3.8009784985954247,0.9502446246488562,0.760195699719085,0.05,0.04,0.9002446246488561,0.7201956997190849,0.9988283777572542,0.048411798094376166,"[0.9988283777572542, 0.9985195695008834, 0.9845805229848302, 0.914811583586984]","[0.048411798094376166, 0.0544205094145176, 0.1758366712526736, 0.41575516767211496]",4,3,0.18946575234597168,0.04736643808649292,0.06315525078199057,0.03,0.04,0.017366438086492922,0.023155250781990565,0.3994508844108669,1.159878536678598,"[0.3994508844108669, 0.16884900662154584, 0.03734643560321546]","[1.159878536678598, 1.4011345349197146, 1.5334412042091825]",4,3,0.009112662657506956,0.002278165664376739,0.003037554219168985,0.03,0.04,-0.02772183433562326,-0.036962445780831014,0.09519357423811106,1.4754583919842958,"[0.09519357423811106, 0.006434200134524642, 0.0030736216275064152]","[1.4754583919842958, 1.56436208226471, 1.5677227003278755]",4,0,,,,,,,,,,[],[],4,4,0.1989186975387946,0.04972967438469865,0.04972967438469865,0.04,0.04,0.009729674384698649,0.009729674384698649,0.4027711392987043,1.1562539176828586,"[0.4027711392987043, 0.15254418032200184, 0.11437461672828779, 0.018515587621358152]","[1.1562539176828586, 1.4176542540723327, 1.456170864321881, 1.5522796810697812]"
fullgrid_formal_20260817,0,3674827978,20,1021,2,missing,2,5,3,3,True,2.0461228097495573e-15,True,3,5,2.983443972642019,0.9944813242140064,0.5966887945284038,0.05,0.03,0.9444813242140063,0.5666887945284038,0.9993434414222055,0.03623894135420854,"[0.9993434414222055, 0.9985069283728027, 0.9938513836182715]","[0.03623894135420854, 0.05465241657993446, 0.11094978726673373]",3,5,2.8364210830021763,0.9454736943340588,0.5672842166004353,0.05,0.03,0.8954736943340588,0.5372842166004352,0.9986795898142978,0.051394569140552,"[0.9986795898142978, 0.9852302868868109, 0.9318698630664338]","[0.051394569140552, 0.1720826220032054, 0.37126305171193474]",3,3,0.15573853077507976,0.05191284359169326,0.05191284359169326,0.03,0.03,0.021912843591693258,0.021912843591693258,0.3572734421044438,1.2054492966247985,"[0.3572734421044438, 0.16552574412610205, 0.02637131724853006]","[1.2054492966247985, 1.404505241345449, 1.5444219519499018]",3,3,0.008715641135235574,0.0029052137117451912,0.0029052137117451912,0.03,0.03,-0.027094786288254808,-0.027094786288254808,0.093102944145764,1.477558350090628,"[0.093102944145764, 0.006334254852768644, 0.0027129581800126716]","[1.477558350090628, 1.5644620295833727, 1.5680833652869133]",3,0,,,,,,,,,,[],[],3,4,0.16141027557113904,0.05380342519037968,0.04035256889278476,0.04,0.03,0.013803425190379678,0.010352568892784762,0.3579815783247854,1.2046910106175877,"[0.3579815783247854, 0.151500652680949, 0.1015234819560532]","[1.2046910106175877, 1.4187100532709072, 1.4690976302273848]"
fullgrid_formal_20260817,0,3674827978,20,1021,4,missing,4,5,1,1,True,2.0461228097495573e-15,True,1,5,0.9919369720154139,0.9919369720154139,0.19838739440308278,0.05,0.01,0.9419369720154138,0.18838739440308278,0.995960326526822,0.08991547401724544,[0.995960326526822],[0.08991547401724544],1,5,0.8867651992243653,0.8867651992243653,0.17735303984487305,0.05,0.01,0.8367651992243652,0.16735303984487304,0.941682111555893,0.34320169448453763,[0.941682111555893],[0.34320169448453763],1,3,0.10926760575852755,0.10926760575852755,0.03642253525284252,0.03,0.01,0.07926760575852755,0.026422535252842515,0.33055650917585566,1.233903156505118,[0.33055650917585566],[1.233903156505118],1,3,0.004095832967479745,0.004095832967479745,0.0013652776558265819,0.03,0.01,-0.025904167032520253,-0.008634722344173418,0.06399869504513155,1.5067538630363022,[0.06399869504513155],[1.5067538630363022],1,0,,,,,,,,,,[],[],1,4,0.10695582743414828,0.10695582743414828,0.02673895685853707,0.04,0.01,0.06695582743414827,0.016738956858537067,0.32704101796892127,1.237625619390519,[0.32704101796892127],[1.237625619390519]
fullgrid_formal_20260817,0,3674827978,20,1021,6,extra,6,5,1,1,True,2.0461228097495573e-15,True,1,5,0.005342422286329698,0.005342422286329698,0.0010684844572659397,0.05,0.01,-0.04465757771367031,-0.00893151554273406,0.07309187565201551,1.4976392129046934,[0.07309187565201551],[1.4976392129046934],1,0,,,,,,,,,,[],[],1,3,0.7191204244157355,0.7191204244157355,0.2397068081385785,0.03,0.01,0.6891204244157355,0.2297068081385785,0.8480096841520948,0.5585778429562817,[0.8480096841520948],[0.5585778429562817],1,3,0.7747928346573241,0.7747928346573241,0.258264278219108,0.03,0.01,0.744792834657324,0.24826427821910801,0.8802231732108193,0.4944640572583769,[0.8802231732108193],[0.4944640572583769],1,4,0.8868736778940225,0.8868736778940225,0.22171841947350562,0.04,0.01,0.8468736778940225,0.21171841947350561,0.9417397081434034,0.34303049169271677,[0.9417397081434034],[0.34303049169271677],1,4,0.9142929247362049,0.9142929247362049,0.22857323118405123,0.04,0.01,0.8742929247362049,0.21857323118405123,0.9561866578948929,0.2971096376150146,[0.9561866578948929],[0.2971096376150146]
