replication,r_used,mean,n_valid_origins,n_total_origins,metric,series
0,1,0.6962012115863969,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,2,0.5898174474124636,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,3,0.49514738295072,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,4,0.35061087093276766,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,5,0.07991900005930748,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,6,0.06423015499687895,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,7,0.0014116989949200963,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,8,0.00134532926420262,25,25,UMP_Q_F_unique_purity,mechanism_cell
0,9,0.001396461577934324,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,1,0.6801475241574017,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,2,0.5772499068132655,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,3,0.5030292301247582,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,4,0.35284254095672163,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,5,0.04244218688054767,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,6,0.02222784151997986,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,7,0.002889809965175732,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,8,0.004283009255622088,25,25,UMP_Q_F_unique_purity,mechanism_cell
1,9,0.0031983567639476116,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,1,0.6911548008150337,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,2,0.5821605945380989,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,3,0.49097499789437954,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,4,0.36822682747817054,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,5,0.07773924840333579,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,6,0.031245798956330416,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,7,0.006774109906273292,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,8,0.0060485931657620964,25,25,UMP_Q_F_unique_purity,mechanism_cell
2,9,0.003510173785285492,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,1,0.7257104869844117,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,2,0.5648335937515944,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,3,0.4724993401277677,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,4,0.3269606795502961,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,5,0.09059278796394402,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,6,0.04656444475367818,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,7,0.01886636428497527,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,8,0.010523054327276548,25,25,UMP_Q_F_unique_purity,mechanism_cell
3,9,0.003247798807112244,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,1,0.6325140363501028,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,2,0.5709450410113219,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,3,0.4848541819087323,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,4,0.3457224182402776,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,5,0.07306482020888595,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,6,0.04711301822737006,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,7,0.01598683854965028,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,8,0.010353482334532585,25,25,UMP_Q_F_unique_purity,mechanism_cell
4,9,0.007856515459036147,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,1,0.764963662210409,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,2,0.5885373825769804,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,3,0.5043319768302442,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,4,0.3633851469933861,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,5,0.06512445343875856,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,6,0.034669050834266406,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,7,0.00220736382536978,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,8,0.0016376285576491039,25,25,UMP_Q_F_unique_purity,mechanism_cell
5,9,0.00237743395458706,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,1,0.7544939507124836,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,2,0.5998478549630529,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,3,0.502365335825097,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,4,0.3516349891818979,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,5,0.07189835264266577,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,6,0.03431550616535821,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,7,0.0018624762656921881,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,8,0.001187043138997328,25,25,UMP_Q_F_unique_purity,mechanism_cell
6,9,0.0010633883186445881,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,1,0.7869432205723906,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,2,0.6075800307464574,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,3,0.4967083334507554,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,4,0.34042677497730045,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,5,0.024577803737797495,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,6,0.007961790310083,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,7,0.00036144405667867195,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,8,0.00044699078051033293,25,25,UMP_Q_F_unique_purity,mechanism_cell
7,9,0.0006433411760922279,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,1,0.7920971590067183,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,2,0.5939108354455995,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,3,0.5042195885970464,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,4,0.35173716983670433,25,25,UMP_Q_F_unique_purity,mechanism_cell
8,5,0.07822818737103787,25,25,UMP_Q_F_unique_purity,mechanism_cell
