contrast,r_a,r_b,metric,n_paired,mean_delta,sd_delta,mcse_delta,t_stat,p_value,ci95_low,ci95_high,deltas_by_replication
H-under: r=3 minus r=5,3,5,QR_Q_C_capture,20,-0.03282085132753647,0.018039142383409767,0.0040336748625101814,-8.136712166015245,1.3018575595324933e-07,-0.04126342984243222,-0.024378272812640718,0:-0.04725312195;1:-0.0132343555;2:-0.05581169899;3:-0.07547788086;4:-0.05179687732;5:-0.01809892992;6:-0.03482118259;7:-0.006173868524;8:-0.03202919204;9:-0.008680081417;10:-0.03616865708;11:-0.01758727008;12:-0.02669218503;13:-0.04890201343;14:-0.0382036948;15:-0.04357494061;16:-0.02534428546;17:-0.01842847757;18:-0.01504882316;19:-0.04308949021
H-under: r=3 minus r=5,3,5,QR_Q_C_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-under: r=3 minus r=5,3,5,QR_Q_C_dim_U,20,-2.0,0.0,0.0,,,-2.0,-2.0,0:-2;1:-2;2:-2;3:-2;4:-2;5:-2;6:-2;7:-2;8:-2;9:-2;10:-2;11:-2;12:-2;13:-2;14:-2;15:-2;16:-2;17:-2;18:-2;19:-2
H-under: r=3 minus r=5,3,5,QR_Q_C_excess_capture,20,-0.012820851327536442,0.01803914238340975,0.004033674862510177,-3.1784543287551834,0.0049473330471161425,-0.021263429842432187,-0.0043782728126406985,0:-0.02725312195;1:0.006765644496;2:-0.03581169899;3:-0.05547788086;4:-0.03179687732;5:0.001901070076;6:-0.01482118259;7:0.01382613148;8:-0.01202919204;9:0.01131991858;10:-0.01616865708;11:0.002412729915;12:-0.006692185035;13:-0.02890201343;14:-0.0182036948;15:-0.02357494061;16:-0.005344285456;17:0.001571522434;18:0.004951176843;19:-0.02308949021
H-under: r=3 minus r=5,3,5,QR_Q_C_excess_purity,20,-0.0030209899787608597,0.0134462639939083,0.0030066760333786772,-1.0047607208835525,0.32763755278521534,-0.009314035240435253,0.003272055282913533,0:-0.01929233437;1:0.01729433651;2:-0.01894135933;3:-0.03538350965;4:-0.009152908913;5:0.00493241034;6:0.002142833416;7:0.001020537399;8:0.002727061979;9:0.01430631942;10:-0.007966851641;11:0.005587432136;12:-0.002026024413;13:-0.01730285967;14:0.006133522605;15:-0.01180884512;16:0.00248892833;17:-0.005689748704;18:0.01830937382;19:-0.007798113718
H-under: r=3 minus r=5,3,5,QR_Q_C_expected_random_capture,20,-0.02000000000000001,3.5595774664122295e-18,7.959457186074219e-19,-2.5127341642080564e+16,0.0,-0.02000000000000001,-0.02000000000000001,0:-0.02;1:-0.02;2:-0.02;3:-0.02;4:-0.02;5:-0.02;6:-0.02;7:-0.02;8:-0.02;9:-0.02;10:-0.02;11:-0.02;12:-0.02;13:-0.02;14:-0.02;15:-0.02;16:-0.02;17:-0.02;18:-0.02;19:-0.02
H-under: r=3 minus r=5,3,5,QR_Q_C_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-under: r=3 minus r=5,3,5,QR_Q_C_full_capture,20,-0.0327785714977543,0.016475744362117437,0.00368408843736035,-8.8973356788471,3.3372965946298905e-08,-0.04048945721571687,-0.02506768577979174,0:-0.03634137222;1:-0.01064985637;2:-0.04562165733;3:-0.07274642102;4:-0.05051914256;5:-0.02840603759;6:-0.03136938138;7:-0.00854952921;8:-0.0257620453;9:-0.01376974591;10:-0.04899987044;11:-0.01440310476;12:-0.03476132098;13:-0.04725330907;14:-0.02975565134;15:-0.05000859762;16:-0.01932697383;17:-0.03218804129;18:-0.01748131436;19:-0.0376580574
H-under: r=3 minus r=5,3,5,QR_Q_C_full_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-under: r=3 minus r=5,3,5,QR_Q_C_full_dim_U,20,-2.0,0.0,0.0,,,-2.0,-2.0,0:-2;1:-2;2:-2;3:-2;4:-2;5:-2;6:-2;7:-2;8:-2;9:-2;10:-2;11:-2;12:-2;13:-2;14:-2;15:-2;16:-2;17:-2;18:-2;19:-2
H-under: r=3 minus r=5,3,5,QR_Q_C_full_excess_capture,20,-0.01277857149775427,0.01647574436211741,0.0036840884373603435,-3.4685843499756324,0.0025722640509535655,-0.02048945721571682,-0.005067685779791722,0:-0.01634137222;1:0.009350143633;2:-0.02562165733;3:-0.05274642102;4:-0.03051914256;5:-0.008406037591;6:-0.01136938138;7:0.01145047079;8:-0.005762045296;9:0.006230254085;10:-0.02899987044;11:0.005596895244;12:-0.01476132098;13:-0.02725330907;14:-0.009755651339;15:-0.03000859762;16:0.0006730261711;17:-0.01218804129;18:0.002518685636;19:-0.0176580574
H-under: r=3 minus r=5,3,5,QR_Q_C_full_excess_purity,20,-0.005798509040515916,0.016956058290039967,0.003791489896697821,-1.5293484088052294,0.1426567701712096,-0.013734188596350354,0.002137170515318523,0:-0.01603616088;1:0.02156643491;2:-0.02105601162;3:-0.04616313028;4:-0.01654874875;5:-0.002372726503;6:0.0002713455803;7:0.008246945093;8:0.002480331241;9:0.01073225276;10:-0.02477993804;11:0.007584307971;12:-0.003938606625;13:-0.0249510577;14:0.006528429197;15:-0.02021397384;16:0.00507645517;17:-0.01448236142;18:0.01829310584;19:-0.006207072922
H-under: r=3 minus r=5,3,5,QR_Q_C_full_expected_random_capture,20,-0.02000000000000001,3.5595774664122295e-18,7.959457186074219e-19,-2.5127341642080564e+16,0.0,-0.02000000000000001,-0.02000000000000001,0:-0.02;1:-0.02;2:-0.02;3:-0.02;4:-0.02;5:-0.02;6:-0.02;7:-0.02;8:-0.02;9:-0.02;10:-0.02;11:-0.02;12:-0.02;13:-0.02;14:-0.02;15:-0.02;16:-0.02;17:-0.02;18:-0.02;19:-0.02
H-under: r=3 minus r=5,3,5,QR_Q_C_full_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-under: r=3 minus r=5,3,5,QR_Q_C_full_largest_canonical_correlation,20,-0.08510453206020137,0.05970387864682862,0.013350193117470694,-6.37477909954947,4.089068493140502e-06,-0.11304680738606317,-0.05716225673433957,0:-0.1712384282;1:-0.0111222709;2:-0.1526200672;3:-0.2043715701;4:-0.05964249541;5:-0.06579347063;6:-0.05535931493;7:-0.02666257057;8:-0.08969397828;9:-0.009272539115;10:-0.1387848266;11:-0.03564801072;12:-0.08798773547;13:-0.09491129662;14:-0.02461567742;15:-0.1556756375;16:-0.05005561626;17:-0.165773095;18:-0.03041624802;19:-0.07244579226
H-under: r=3 minus r=5,3,5,QR_Q_C_full_purity,20,-0.005798509040515934,0.016956058290039995,0.0037914898966978274,-1.5293484088052314,0.14265677017120915,-0.013734188596350387,0.0021371705153185186,0:-0.01603616088;1:0.02156643491;2:-0.02105601162;3:-0.04616313028;4:-0.01654874875;5:-0.002372726503;6:0.0002713455803;7:0.008246945093;8:0.002480331241;9:0.01073225276;10:-0.02477993804;11:0.007584307971;12:-0.003938606625;13:-0.0249510577;14:0.006528429197;15:-0.02021397384;16:0.00507645517;17:-0.01448236142;18:0.01829310584;19:-0.006207072922
H-under: r=3 minus r=5,3,5,QR_Q_C_full_shared_energy,20,-0.1311142859910172,0.06590297744846975,0.0147363537494414,-8.8973356788471,3.3372965946298905e-08,-0.16195782886286747,-0.10027074311916696,0:-0.1453654889;1:-0.04259942547;2:-0.1824866293;3:-0.2909856841;4:-0.2020765702;5:-0.1136241504;6:-0.1254775255;7:-0.03419811684;8:-0.1030481812;9:-0.05507898366;10:-0.1959994817;11:-0.05761241902;12:-0.1390452839;13:-0.1890132363;14:-0.1190226054;15:-0.2000343905;16:-0.07730789532;17:-0.1287521651;18:-0.06992525746;19:-0.1506322296
H-under: r=3 minus r=5,3,5,QR_Q_C_full_smallest_principal_angle,20,0.09166873525136995,0.06399507105974822,0.014309732911452652,6.406040966565057,3.832537863734942e-06,0.06171812005554197,0.12161935044719793,0:0.1820299279;1:0.01219042327;2:0.1630789495;3:0.2202393136;4:0.06529246356;5:0.07039029949;6:0.0619387577;7:0.02823470154;8:0.09622787476;9:0.00978849421;10:0.1492542759;11:0.03769852061;12:0.09602133126;13:0.1011515176;14:0.02698000511;15:0.1729234308;16:0.05340136418;17:0.1738752574;18:0.03315509778;19:0.07950269866
H-under: r=3 minus r=5,3,5,QR_Q_C_largest_canonical_correlation,20,-0.0676805304200455,0.051601863950297255,0.011538527555856049,-5.8656124095917415,1.195690894917334e-05,-0.09183094614690479,-0.04353011469318621,0:-0.1758103381;1:-0.01987842467;2:-0.1428689164;3:-0.1850771172;4:-0.03085608361;5:-0.02219944304;6:-0.03828426924;7:-0.02881465168;8:-0.09214371302;9:-0.01243386592;10:-0.05364463379;11:-0.0457311827;12:-0.05268925078;13:-0.09525996526;14:-0.02149455883;15:-0.1170670208;16:-0.05716287949;17:-0.06432962209;18:-0.03064454425;19:-0.06722012751
