dgp,K_branch,variant,baing_branch,r0,stop_state,count
strong_sbm,primary_fixed_K,A_incremental,released,1,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,2,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,3,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,4,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,5,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,6,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,7,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,8,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,released,9,out_of_grid,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,correct_fixed_point,81
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1,wrong_fixed_point,19
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,correct_fixed_point,93
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2,wrong_fixed_point,7
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,correct_fixed_point,98
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3,wrong_fixed_point,2
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4,correct_fixed_point,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5,correct_fixed_point,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6,wrong_fixed_point,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7,wrong_fixed_point,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8,wrong_fixed_point,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9,wrong_fixed_point,100
strong_sbm,primary_fixed_K,B_absolute,released,1,correct_fixed_point,81
strong_sbm,primary_fixed_K,B_absolute,released,1,wrong_fixed_point,19
strong_sbm,primary_fixed_K,B_absolute,released,2,correct_fixed_point,94
strong_sbm,primary_fixed_K,B_absolute,released,2,wrong_fixed_point,6
strong_sbm,primary_fixed_K,B_absolute,released,3,correct_fixed_point,98
strong_sbm,primary_fixed_K,B_absolute,released,3,wrong_fixed_point,2
strong_sbm,primary_fixed_K,B_absolute,released,4,correct_fixed_point,100
strong_sbm,primary_fixed_K,B_absolute,released,5,correct_fixed_point,100
strong_sbm,primary_fixed_K,B_absolute,released,6,correct_fixed_point,3
strong_sbm,primary_fixed_K,B_absolute,released,6,wrong_fixed_point,97
strong_sbm,primary_fixed_K,B_absolute,released,7,correct_fixed_point,7
strong_sbm,primary_fixed_K,B_absolute,released,7,wrong_fixed_point,93
strong_sbm,primary_fixed_K,B_absolute,released,8,correct_fixed_point,7
strong_sbm,primary_fixed_K,B_absolute,released,8,wrong_fixed_point,93
strong_sbm,primary_fixed_K,B_absolute,released,9,correct_fixed_point,7
strong_sbm,primary_fixed_K,B_absolute,released,9,wrong_fixed_point,93
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,1,correct_fixed_point,81
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,1,wrong_fixed_point,19
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,2,correct_fixed_point,94
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,2,wrong_fixed_point,6
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,3,correct_fixed_point,98
