dgp,K_branch,variant,baing_branch,r_used,mean_r_next,modal_r_next,p_next_eq_r_true,mean_d_hat,mean_ARI,n
strong_sbm,primary_fixed_K,A_incremental,released,1.0,5.19,5,0.81,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,A_incremental,released,2.0,5.07,5,0.93,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,A_incremental,released,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,A_incremental,released,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,A_incremental,released,5.0,6.0,6,0.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,A_incremental,released,6.0,7.0,7,0.0,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,A_incremental,released,7.0,8.0,8,0.0,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,A_incremental,released,8.0,9.0,9,0.0,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,A_incremental,released,9.0,10.0,10,0.0,2.4,0.008933420478166667,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,1.0,5.19,5,0.81,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,2.0,5.07,5,0.93,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,5.0,5.0,5,1.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,6.0,6.04,6,0.0,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,7.0,7.0,7,0.0,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,8.0,8.0,8,0.0,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,A_incremental,zero_fixed,9.0,9.0,9,0.0,2.4,0.008933420478166667,100
strong_sbm,primary_fixed_K,B_absolute,released,1.0,5.19,5,0.81,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,B_absolute,released,2.0,5.06,5,0.94,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,B_absolute,released,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,B_absolute,released,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,B_absolute,released,5.0,5.0,5,1.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,B_absolute,released,6.0,5.98,6,0.03,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,B_absolute,released,7.0,6.4,7,0.07,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,B_absolute,released,8.0,6.4,7,0.07,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,B_absolute,released,9.0,6.39,6,0.07,2.4,0.008933420478166667,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,1.0,5.19,5,0.81,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,2.0,5.06,5,0.94,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,5.0,5.0,5,1.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,6.0,5.98,6,0.03,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,7.0,6.4,7,0.07,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,8.0,6.4,7,0.07,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,B_absolute,zero_fixed,9.0,6.39,6,0.07,2.4,0.008933420478166667,100
strong_sbm,primary_fixed_K,C_criterion,released,1.0,5.04,5,0.96,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,C_criterion,released,2.0,5.01,5,0.99,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,C_criterion,released,3.0,5.01,5,0.99,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,C_criterion,released,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,C_criterion,released,5.0,5.0,5,1.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,C_criterion,released,6.0,6.0,6,0.04,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,C_criterion,released,7.0,6.59,7,0.06,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,C_criterion,released,8.0,6.57,7,0.05,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,C_criterion,released,9.0,6.61,7,0.01,2.4,0.008933420478166667,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,1.0,5.04,5,0.96,5.47,0.012306905130097403,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,2.0,5.01,5,0.99,4.99,0.024988763253071353,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,3.0,5.01,5,0.99,4.0,0.0740531925020739,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,4.0,5.0,5,1.0,3.0,0.2408334388541201,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,5.0,5.0,5,1.0,2.07,0.6353045548305944,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,6.0,6.0,6,0.04,1.78,0.2888313768638865,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,7.0,6.59,7,0.06,2.34,0.026452005817444967,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,8.0,6.57,7,0.05,2.31,0.00895140141602719,100
strong_sbm,primary_fixed_K,C_criterion,zero_fixed,9.0,6.61,7,0.01,2.4,0.008933420478166667,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,1.0,5.48,5,0.52,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,2.0,5.21,5,0.79,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,5.0,6.0,6,0.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,6.0,7.0,7,0.0,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,7.0,8.0,8,0.0,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,8.0,9.0,9,0.0,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,released,9.0,10.0,10,0.0,2.4,0.00573759345707626,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,1.0,5.48,5,0.52,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,2.0,5.21,5,0.79,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,5.0,5.0,5,1.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,6.0,6.05,6,0.0,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,7.0,7.0,7,0.0,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,8.0,8.0,8,0.0,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,9.0,9.0,9,0.0,2.4,0.00573759345707626,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,1.0,5.48,5,0.52,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,2.0,5.21,5,0.79,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,5.0,5.0,5,1.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,6.0,6.0,6,0.01,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,7.0,6.53,7,0.05,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,8.0,6.53,7,0.04,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,released,9.0,6.52,7,0.03,2.4,0.00573759345707626,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,1.0,5.48,5,0.52,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,2.0,5.21,5,0.79,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,3.0,5.02,5,0.98,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,5.0,5.0,5,1.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,6.0,6.0,6,0.01,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,7.0,6.53,7,0.05,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,8.0,6.53,7,0.04,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,9.0,6.52,7,0.03,2.4,0.00573759345707626,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,1.0,5.13,5,0.87,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,2.0,5.04,5,0.96,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,3.0,5.01,5,0.99,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,5.0,5.0,5,1.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,6.0,6.01,6,0.03,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,7.0,6.8,7,0.01,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,8.0,6.77,7,0.02,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,released,9.0,6.77,7,0.02,2.4,0.00573759345707626,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,1.0,5.13,5,0.87,5.47,0.008437268511149638,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,2.0,5.04,5,0.96,4.99,0.014143583102278841,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,3.0,5.01,5,0.99,4.0,0.0740531925020739,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,4.0,5.0,5,1.0,3.0,0.20815448480242005,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,5.0,5.0,5,1.0,2.07,0.3371208450370605,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,6.0,6.01,6,0.03,1.78,0.17985025636582402,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,7.0,6.8,7,0.01,2.34,0.01982702943863498,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,8.0,6.77,7,0.02,2.31,0.009537874781649028,100
strong_sbm,robustness_K_equals_d_hat,C_criterion,zero_fixed,9.0,6.77,7,0.02,2.4,0.00573759345707626,100
weak_sbm,primary_fixed_K,A_incremental,released,1.0,6.0,6,0.0,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,A_incremental,released,2.0,6.011764705882353,6,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,A_incremental,released,3.0,6.0,6,0.0,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,A_incremental,released,4.0,6.035294117647059,6,0.0,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,A_incremental,released,5.0,6.6,7,0.0,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,A_incremental,released,6.0,7.0,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,A_incremental,released,7.0,8.0,8,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,A_incremental,released,8.0,9.0,9,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,A_incremental,released,9.0,10.0,10,0.0,5.117647058823529,-0.0010832510403007175,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,1.0,6.0,6,0.0,5.9411764705882355,0.020490439416780224,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,2.0,6.011764705882353,6,0.0,5.0,0.04314361586387678,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,3.0,6.0,6,0.0,4.0,0.1322066897896781,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,4.0,6.035294117647059,6,0.0,3.0,0.2324510666515922,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,5.0,6.6,7,0.0,2.070588235294118,0.05176721188419181,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,6.0,6.811764705882353,7,0.0,3.1411764705882352,0.040530910181994846,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,7.0,7.0,7,0.0,4.788235294117647,0.005273008873394979,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,8.0,8.0,8,0.0,4.882352941176471,0.0022044028716907554,85
weak_sbm,primary_fixed_K,A_incremental,zero_fixed,9.0,9.0,9,0.0,5.117647058823529,-0.0010832510403007175,85
