dgp,K_branch,variant,baing_branch,r0,replication,reached,n_iter
strong_sbm,primary_fixed_K,A_incremental,released,1,0,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,1,0.0,5.2
strong_sbm,primary_fixed_K,A_incremental,released,1,2,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,3,0.0,5.0
strong_sbm,primary_fixed_K,A_incremental,released,1,4,0.0,5.2
strong_sbm,primary_fixed_K,A_incremental,released,1,5,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,6,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,7,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,8,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,9,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,10,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,11,0.0,5.8
strong_sbm,primary_fixed_K,A_incremental,released,1,12,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,13,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,14,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,15,0.0,5.6
strong_sbm,primary_fixed_K,A_incremental,released,1,16,0.0,5.6
strong_sbm,primary_fixed_K,A_incremental,released,1,17,0.0,5.8
strong_sbm,primary_fixed_K,A_incremental,released,1,18,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,1,19,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,0,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,1,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,2,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,3,0.0,5.2
strong_sbm,primary_fixed_K,A_incremental,released,2,4,0.0,5.8
strong_sbm,primary_fixed_K,A_incremental,released,2,5,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,6,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,7,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,8,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,9,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,10,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,11,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,12,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,13,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,14,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,15,0.0,5.6
strong_sbm,primary_fixed_K,A_incremental,released,2,16,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,17,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,18,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,2,19,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,0,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,1,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,2,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,3,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,4,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,5,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,6,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,7,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,8,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,9,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,10,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,11,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,12,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,13,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,14,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,15,0.0,5.6
strong_sbm,primary_fixed_K,A_incremental,released,3,16,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,17,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,18,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,3,19,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,0,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,1,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,2,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,3,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,4,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,5,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,6,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,7,0.0,6.0
strong_sbm,primary_fixed_K,A_incremental,released,4,8,0.0,6.0
