replication,branch,epsilon,n_in_set,r_min,r_max,r_values,MSPE_eval_min,MSPE_eval_max,MSPE_eval_range,ARI_eval_min,ARI_eval_max,ARI_eval_range,r_true_in_set,structure_oracle_in_set
0,primary_fixed_K,0.001,1,5,5,5,1.884246242415288,1.884246242415288,0.0,0.6784076141677903,0.6784076141677903,0.0,1,1
1,primary_fixed_K,0.001,1,5,5,5,1.8599545623227527,1.8599545623227527,0.0,0.7564204835463184,0.7564204835463184,0.0,1,1
2,primary_fixed_K,0.001,1,5,5,5,1.9886953095589066,1.9886953095589066,0.0,0.5716213482576373,0.5716213482576373,0.0,1,1
3,primary_fixed_K,0.001,2,8,9,8|9,1.89703757637797,1.8980465417681065,0.001008965390136396,0.0009392661169408702,0.03769238124676256,0.03675311512982169,0,0
4,primary_fixed_K,0.001,1,7,7,7,1.9116822347862008,1.9116822347862008,0.0,0.04137527509465798,0.04137527509465798,0.0,0,0
5,primary_fixed_K,0.001,1,5,5,5,1.933638861165735,1.933638861165735,0.0,0.6529456415445957,0.6529456415445957,0.0,1,1
6,primary_fixed_K,0.001,1,5,5,5,1.904649168365905,1.904649168365905,0.0,0.6185940300541896,0.6185940300541896,0.0,1,1
7,primary_fixed_K,0.001,1,5,5,5,1.8723338413842008,1.8723338413842008,0.0,0.7056977035041817,0.7056977035041817,0.0,1,1
8,primary_fixed_K,0.001,1,5,5,5,1.8899001331608516,1.8899001331608516,0.0,0.5908983129041064,0.5908983129041064,0.0,1,1
9,primary_fixed_K,0.001,2,5,7,5|7,1.8901722784569202,1.8909269454442017,0.0007546669872815492,0.032216610629734174,0.690811567701312,0.6585949570715779,1,1
10,primary_fixed_K,0.001,1,5,5,5,1.9398957226995828,1.9398957226995828,0.0,0.6331519604359981,0.6331519604359981,0.0,1,1
11,primary_fixed_K,0.001,1,5,5,5,1.936863749814763,1.936863749814763,0.0,0.6629666244276567,0.6629666244276567,0.0,1,1
12,primary_fixed_K,0.001,2,5,7,5|7,1.8708596189117501,1.8746883642360894,0.0038287453243393,0.008888971380928966,0.6193517264823949,0.610462755101466,1,1
13,primary_fixed_K,0.001,3,7,9,7|8|9,1.943005027270031,1.9432965442320818,0.00029151696205076405,-0.0032293795524789537,0.014410259424197634,0.017639638976676586,0,0
14,primary_fixed_K,0.001,1,5,5,5,1.9091183890903964,1.9091183890903964,0.0,0.5879047469169874,0.5879047469169874,0.0,1,1
15,primary_fixed_K,0.001,1,8,8,8,1.916293143489706,1.916293143489706,0.0,0.006189244348083042,0.006189244348083042,0.0,0,0
16,primary_fixed_K,0.001,1,5,5,5,1.8741176992349557,1.8741176992349557,0.0,0.6301694863870266,0.6301694863870266,0.0,1,1
17,primary_fixed_K,0.001,1,5,5,5,1.8592833674019016,1.8592833674019016,0.0,0.7215386518630222,0.7215386518630222,0.0,1,1
18,primary_fixed_K,0.001,1,7,7,7,1.9283983878759827,1.9283983878759827,0.0,0.010852773931443505,0.010852773931443505,0.0,0,0
19,primary_fixed_K,0.001,1,5,5,5,1.8473926946908221,1.8473926946908221,0.0,0.5493448453043217,0.5493448453043217,0.0,1,1
0,primary_fixed_K,0.005,3,5,9,5|8|9,1.884246242415288,1.897047156453282,0.012800914037994104,4.0278310028375784e-05,0.6784076141677903,0.6783673358577619,1,1
