branch,quantity,r,count
primary_fixed_K,r_selected,5,15
primary_fixed_K,r_selected,7,2
primary_fixed_K,r_selected,8,3
primary_fixed_K,r_prediction_oracle,5,13
primary_fixed_K,r_prediction_oracle,7,5
primary_fixed_K,r_prediction_oracle,8,1
primary_fixed_K,r_prediction_oracle,9,1
primary_fixed_K,r_structure_oracle,5,20
robustness_K_equals_d_hat,r_selected,4,4
robustness_K_equals_d_hat,r_selected,5,3
robustness_K_equals_d_hat,r_selected,7,9
robustness_K_equals_d_hat,r_selected,8,3
robustness_K_equals_d_hat,r_selected,9,1
robustness_K_equals_d_hat,r_prediction_oracle,4,4
robustness_K_equals_d_hat,r_prediction_oracle,7,9
robustness_K_equals_d_hat,r_prediction_oracle,8,3
robustness_K_equals_d_hat,r_prediction_oracle,9,4
robustness_K_equals_d_hat,r_structure_oracle,4,5
robustness_K_equals_d_hat,r_structure_oracle,5,14
robustness_K_equals_d_hat,r_structure_oracle,6,1
