replication,branch,r_selected,tuning_min_tied,r_prediction_oracle,n_prediction_oracle_ties,r_structure_oracle,n_structure_oracle_ties,MSPE_eval_selected,MSPE_eval_prediction_oracle,MSPE_eval_r_true,ARI_eval_selected,ARI_eval_structure_oracle,ARI_eval_r_true,d_hat_eval_selected,pr_d_hat_eq_K_true_eval_selected,abs_r_selected_minus_r_true,selected_equals_r_true,selected_within_one_of_r_true,selected_equals_prediction_oracle,selected_equals_structure_oracle,predictive_regret,structural_regret,structural_regret_fraction,predictive_regret_fraction,MSPE_eval_selected_minus_r_true,ARI_eval_r_true_minus_selected,spearman_tuneMSPE_evalMSPE,spearman_tuneMSPE_evalARI
0,primary_fixed_K,5,False,5,1,5,1,1.884246242415288,1.884246242415288,1.884246242415288,0.6784076141677903,0.6784076141677903,0.6784076141677903,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.85,-0.3333333333333333
1,primary_fixed_K,5,False,5,1,5,1,1.8599545623227527,1.8599545623227527,1.8599545623227527,0.7564204835463184,0.7564204835463184,0.7564204835463184,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,-0.13333333333333333
2,primary_fixed_K,5,False,7,1,5,1,1.9886953095589066,1.9835575097734672,1.9886953095589066,0.5716213482576373,0.5716213482576373,0.5716213482576373,2.068,0.0,0,1,1,0,1,0.005137799785439379,0.0,0.0,0.002590194516732788,0.0,0.0,0.8666666666666667,-0.03333333333333333
3,primary_fixed_K,8,False,7,1,5,1,1.89703757637797,1.8893368276172393,1.9125534846420185,0.03769238124676256,0.5648948360560176,0.5648948360560176,2.656,0.0,3,0,0,0,0,0.007700748760730791,0.5272024548092551,0.9332754012942954,0.004075900415513885,-0.015515908264048361,0.5272024548092551,0.95,-0.16666666666666666
4,primary_fixed_K,7,False,5,1,5,1,1.9116822347862008,1.8984560889780189,1.8984560889780189,0.04137527509465798,0.6246135029956476,0.6246135029956476,3.008,0.048,2,0,0,0,0,0.013226145808181933,0.5832382279009896,0.9337585964821092,0.0069667904804170955,0.013226145808181933,0.5832382279009896,0.9666666666666667,-0.016666666666666666
5,primary_fixed_K,5,False,5,1,5,1,1.933638861165735,1.933638861165735,1.933638861165735,0.6529456415445957,0.6529456415445957,0.6529456415445957,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,-0.26666666666666666
6,primary_fixed_K,5,False,7,1,5,1,1.904649168365905,1.8984510665323424,1.904649168365905,0.6185940300541896,0.6185940300541896,0.6185940300541896,2.0,0.0,0,1,1,0,1,0.006198101833562619,0.0,0.0,0.0032648204332618898,0.0,0.0,0.9833333333333333,0.016666666666666666
7,primary_fixed_K,5,False,5,1,5,1,1.8723338413842008,1.8723338413842008,1.8723338413842008,0.7056977035041817,0.7056977035041817,0.7056977035041817,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333,-0.4666666666666667
8,primary_fixed_K,5,False,7,1,5,1,1.8899001331608516,1.8897133128129073,1.8899001331608516,0.5908983129041064,0.5908983129041064,0.5908983129041064,2.0,0.0,0,1,1,0,1,0.00018682034794426094,0.0,0.0,9.886174091993459e-05,0.0,0.0,0.9833333333333333,-0.5
9,primary_fixed_K,5,False,5,1,5,1,1.8901722784569202,1.8901722784569202,1.8901722784569202,0.690811567701312,0.690811567701312,0.690811567701312,2.0,0.0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,-0.2
