anchor,replication,origin_index,fixed_point_indicator,basin_fraction,d_hat_at_r_true,ARI_at_r_true,r0_released,end_to_end_success,released_stop_state,released_terminal_r,released_n_iter
S0,0,0,1,0.5555555555555556,2.0,0.6419549516868384,6,0,wrong_fixed_point,6.0,1.0
S0,0,124,1,0.5555555555555556,2.0,0.6761525694119922,6,0,wrong_fixed_point,6.0,1.0
S0,0,249,1,0.5555555555555556,2.0,0.6627289620387576,6,0,wrong_fixed_point,6.0,1.0
S0,0,374,1,0.5555555555555556,2.0,0.6705348460291735,7,0,wrong_fixed_point,7.0,1.0
S0,0,498,1,0.5555555555555556,2.0,0.7113317893263575,6,0,wrong_fixed_point,6.0,1.0
S0,1,0,1,0.4444444444444444,2.0,0.7373839449251564,6,0,wrong_fixed_point,6.0,1.0
S0,1,124,1,0.4444444444444444,2.0,0.7110013485628869,6,0,wrong_fixed_point,6.0,1.0
S0,1,249,1,0.4444444444444444,2.0,0.8154092029033762,7,0,wrong_fixed_point,7.0,1.0
S0,1,374,1,0.4444444444444444,2.0,0.7019244752532842,7,0,wrong_fixed_point,7.0,1.0
S0,1,498,1,0.5555555555555556,2.0,0.7657095573024411,7,0,wrong_fixed_point,7.0,1.0
S0,2,0,1,0.5555555555555556,2.0,0.5855114288525235,6,0,wrong_fixed_point,6.0,1.0
S0,2,124,1,0.5555555555555556,2.0,0.6580875074242725,6,0,wrong_fixed_point,6.0,1.0
S0,2,249,1,0.5555555555555556,2.0,0.5679517198166408,6,0,wrong_fixed_point,6.0,1.0
S0,2,374,1,0.5555555555555556,2.0,0.528097115241881,6,0,wrong_fixed_point,6.0,1.0
S0,2,498,1,0.5555555555555556,3.0,0.5490324696621843,6,0,wrong_fixed_point,6.0,1.0
S0,3,0,1,0.4444444444444444,2.0,0.5062818177572276,7,0,wrong_fixed_point,7.0,1.0
S0,3,124,1,0.3333333333333333,2.0,0.6603334049267269,7,0,wrong_fixed_point,7.0,1.0
S0,3,249,1,0.3333333333333333,2.0,0.5813682765208047,7,0,wrong_fixed_point,7.0,1.0
S0,3,374,1,0.3333333333333333,2.0,0.5563066776586975,7,0,wrong_fixed_point,7.0,1.0
S0,3,498,1,0.3333333333333333,2.0,0.5982991495747874,7,0,wrong_fixed_point,7.0,1.0
S0,4,0,1,0.4444444444444444,2.0,0.6197967607711818,6,0,wrong_fixed_point,6.0,1.0
S0,4,124,1,0.4444444444444444,2.0,0.5926466684364216,7,0,wrong_fixed_point,7.0,1.0
S0,4,249,1,0.4444444444444444,2.0,0.6398571334082942,7,0,wrong_fixed_point,7.0,1.0
S0,4,374,1,0.4444444444444444,2.0,0.6360374725931832,7,0,wrong_fixed_point,7.0,1.0
S0,4,498,1,0.4444444444444444,2.0,0.6206270926454337,7,0,wrong_fixed_point,7.0,1.0
S0,5,0,1,0.5555555555555556,2.0,0.6301231236296171,6,0,wrong_fixed_point,6.0,1.0
S0,5,124,1,0.5555555555555556,2.0,0.5790479576870083,6,0,wrong_fixed_point,6.0,1.0
S0,5,249,1,0.5555555555555556,2.0,0.6379344326916759,6,0,wrong_fixed_point,6.0,1.0
S0,5,374,1,0.5555555555555556,2.0,0.6610933684012775,6,0,wrong_fixed_point,6.0,1.0
S0,5,498,1,0.5555555555555556,2.0,0.5623189249785258,6,0,wrong_fixed_point,6.0,1.0
S0,6,0,1,0.5555555555555556,3.0,0.5333478368970661,6,0,wrong_fixed_point,6.0,1.0
S0,6,124,1,0.5555555555555556,2.0,0.6071366788809033,6,0,wrong_fixed_point,6.0,1.0
S0,6,249,1,0.5555555555555556,2.0,0.6252710364433594,6,0,wrong_fixed_point,6.0,1.0
S0,6,374,1,0.5555555555555556,2.0,0.5804180734142662,6,0,wrong_fixed_point,6.0,1.0
S0,6,498,1,0.5555555555555556,2.0,0.591753707178559,6,0,wrong_fixed_point,6.0,1.0
S0,7,0,1,0.5555555555555556,2.0,0.6612,6,0,wrong_fixed_point,6.0,1.0
S0,7,124,1,0.8888888888888888,2.0,0.6725646414780782,5,1,correct_fixed_point,5.0,1.0
S0,7,249,1,0.5555555555555556,2.0,0.633491428656388,6,0,wrong_fixed_point,6.0,1.0
S0,7,374,1,0.5555555555555556,2.0,0.668783609120937,6,0,wrong_fixed_point,6.0,1.0
S0,7,498,1,0.5555555555555556,2.0,0.7998290401591241,6,0,wrong_fixed_point,6.0,1.0
S0,8,0,1,0.8888888888888888,2.0,0.6661127132313407,5,1,correct_fixed_point,5.0,1.0
S0,8,124,1,0.5555555555555556,2.0,0.6464501724511389,5,1,correct_fixed_point,5.0,1.0
S0,8,249,1,0.5555555555555556,2.0,0.6333742448634777,6,0,wrong_fixed_point,6.0,1.0
S0,8,374,1,0.5555555555555556,2.0,0.5399267277821064,6,0,wrong_fixed_point,6.0,1.0
S0,8,498,1,0.5555555555555556,2.0,0.5516616040259328,6,0,wrong_fixed_point,6.0,1.0
S0,9,0,1,0.5555555555555556,2.0,0.6727618694017728,6,0,wrong_fixed_point,6.0,1.0
S0,9,124,1,0.5555555555555556,2.0,0.7331594744870344,6,0,wrong_fixed_point,6.0,1.0
S0,9,249,1,0.5555555555555556,2.0,0.6566518587795184,6,0,wrong_fixed_point,6.0,1.0
S0,9,374,1,0.5555555555555556,2.0,0.6919286871961102,6,0,wrong_fixed_point,6.0,1.0
S0,9,498,1,0.5555555555555556,2.0,0.695464159811986,7,0,wrong_fixed_point,7.0,1.0
S0,10,0,1,0.5555555555555556,2.0,0.5706053658838838,7,0,wrong_fixed_point,7.0,1.0
S0,10,124,1,0.5555555555555556,2.0,0.5891616796246871,7,0,wrong_fixed_point,7.0,1.0
S0,10,249,1,0.5555555555555556,2.0,0.583376303664399,7,0,wrong_fixed_point,7.0,1.0
S0,10,374,1,0.5555555555555556,2.0,0.66590195002743,7,0,wrong_fixed_point,7.0,1.0
S0,10,498,1,0.5555555555555556,2.0,0.6136729712226632,7,0,wrong_fixed_point,7.0,1.0
S0,11,0,1,0.5555555555555556,3.0,0.6498308697465363,6,0,wrong_fixed_point,6.0,1.0
S0,11,124,1,0.5555555555555556,2.0,0.6404334695327767,6,0,wrong_fixed_point,6.0,1.0
S0,11,249,1,0.4444444444444444,2.0,0.6554103896529679,6,0,wrong_fixed_point,6.0,1.0
S0,11,374,1,0.5555555555555556,2.0,0.6948622777886306,6,0,wrong_fixed_point,6.0,1.0
S0,11,498,1,0.5555555555555556,2.0,0.638665199003534,6,0,wrong_fixed_point,6.0,1.0
S0,12,0,1,0.5555555555555556,2.0,0.6817338505650195,6,0,wrong_fixed_point,6.0,1.0
S0,12,124,1,0.5555555555555556,2.0,0.5981588984024384,6,0,wrong_fixed_point,6.0,1.0
S0,12,249,1,0.5555555555555556,2.0,0.6927175268416705,6,0,wrong_fixed_point,6.0,1.0
S0,12,374,1,0.5555555555555556,2.0,0.5726194611224136,6,0,wrong_fixed_point,6.0,1.0
S0,12,498,1,0.5555555555555556,2.0,0.5668276972624798,6,0,wrong_fixed_point,6.0,1.0
S0,13,0,1,0.5555555555555556,2.0,0.67827371870031,7,0,wrong_fixed_point,7.0,1.0
