anchor,replication,fixed_point_indicator,basin_fraction,end_to_end_success,r0_released,d_hat_at_r_true,ARI_at_r_true,family,p_in,p_out,separation,loading_scale,loading_sigma,structural_seed,actual_spectral_radius,realised_offdiag_density,delta,delta_over_lambda_max_Gamma_xi,n_origins
S0,0,1.0,0.5555555555555556,0.0,6.2,2.0,0.6725406236986238,S,0.9,0.1,0.8,0.4,0.1,3674827978,0.9310466043855584,0.2941414141414141,9.531595974243873,1.153284368490456,5
S0,1,1.0,0.4666666666666666,0.0,6.6,2.0,0.7462857057894289,S,0.9,0.1,0.8,0.4,0.1,162215,0.920657990182796,0.3021212121212121,8.95437908772291,1.1974890669579277,5
S0,2,1.0,0.5555555555555556,0.0,6.0,2.2,0.5777360481995004,S,0.9,0.1,0.8,0.4,0.1,2951145736,0.900000000000002,0.2953535353535353,10.520337535584318,1.720678385780694,5
S0,3,1.0,0.3555555555555555,0.0,7.0,2.0,0.5805178652876488,S,0.9,0.1,0.8,0.4,0.1,3141226789,0.9373965708257448,0.2954545454545454,3.187446745783008,0.3525842387042585,5
S0,4,1.0,0.4444444444444445,0.0,6.8,2.0,0.6217930255709029,S,0.9,0.1,0.8,0.4,0.1,827407145,0.930197577587225,0.2922222222222222,6.187537826409926,0.7545502010529961,5
S0,5,1.0,0.5555555555555556,0.0,6.0,2.0,0.6141035614776209,S,0.9,0.1,0.8,0.4,0.1,4112232398,0.9021490461266936,0.2906060606060606,9.165562895209709,1.4425838687279469,5
S0,6,1.0,0.5555555555555556,0.0,6.0,2.2,0.5875854665628308,S,0.9,0.1,0.8,0.4,0.1,3620073301,0.8999999999999966,0.2953535353535353,12.3555363495157,2.033038633334211,5
S0,7,1.0,0.6222222222222222,0.2,5.8,2.0,0.6871737438829054,S,0.9,0.1,0.8,0.4,0.1,2175964406,0.8999999999999998,0.2992929292929293,10.132996764559913,1.746761332160968,5
S0,8,1.0,0.6222222222222222,0.4,5.6,2.0,0.6075050924707993,S,0.9,0.1,0.8,0.4,0.1,1271978911,0.8999999999999991,0.303030303030303,8.25351100766608,1.3991525160511866,5
S0,9,1.0,0.5555555555555556,0.0,6.2,2.0,0.6899932099352843,S,0.9,0.1,0.8,0.4,0.1,2148785807,0.9005113332381124,0.2949494949494949,10.044048873594956,1.5982277711831057,5
S0,10,1.0,0.5555555555555556,0.0,7.0,2.0,0.6045436540846125,S,0.9,0.1,0.8,0.4,0.1,3128250985,0.9000000000000039,0.2954545454545454,9.272451624886962,1.5044242341906846,5
S0,11,1.0,0.5333333333333334,0.0,6.0,2.2,0.6558404411448892,S,0.9,0.1,0.8,0.4,0.1,3723452138,0.9000000000000006,0.2914141414141414,9.679583409256038,1.643888153737102,5
S0,12,1.0,0.5555555555555556,0.0,6.0,2.0,0.6224114868388043,S,0.9,0.1,0.8,0.4,0.1,2557843024,0.8999999999999988,0.2909090909090909,8.114002034366138,1.366342778493766,5
S0,13,1.0,0.5555555555555556,0.0,6.4,2.0,0.6586619877611344,S,0.9,0.1,0.8,0.4,0.1,349997695,0.9280672150657668,0.2896969696969697,10.788367197545146,1.3408815900034934,5
S0,14,1.0,0.8666666666666666,1.0,5.0,2.6,0.6084898166168249,S,0.9,0.1,0.8,0.4,0.1,3902369840,0.9000000000000004,0.2909090909090909,6.28457596882645,1.0617944213364103,5
S0,15,1.0,0.4444444444444445,0.0,7.0,2.0,0.6428842675148845,S,0.9,0.1,0.8,0.4,0.1,883069729,0.9610944306845408,0.2885858585858586,0.8104569118338691,0.0562210339751697,5
S0,16,1.0,0.5111111111111111,0.0,6.0,2.0,0.6353481590949501,S,0.9,0.1,0.8,0.4,0.1,587737673,0.9031479498375986,0.2938383838383838,11.46504116489799,1.7681801807975914,5
S0,17,1.0,0.5333333333333334,0.0,6.4,2.0,0.7096061420353509,S,0.9,0.1,0.8,0.4,0.1,1621160096,0.9252181344303488,0.2914141414141414,9.914948206892369,1.278768694971025,5
S0,18,1.0,0.5555555555555556,0.0,6.4,2.2,0.6228189700859514,S,0.9,0.1,0.8,0.4,0.1,3367057627,0.9191845537859016,0.2877777777777778,9.768632182652992,1.3668896913999309,5
S0,19,1.0,0.6444444444444445,0.4,5.6,2.0,0.5602518285589401,S,0.9,0.1,0.8,0.4,0.1,2147057047,0.8999999999999995,0.2935353535353535,9.865824622954124,1.6559339602559402,5
S1,0,1.0,0.4,0.0,7.0,2.0,0.5856604449454421,S,0.75,0.15,0.6,0.4,0.1,3674827978,0.9406860732030412,0.298080808080808,7.154610466569851,0.6723167362992889,5
S1,1,1.0,0.2444444444444444,0.0,6.8,2.0,0.7765124332648408,S,0.75,0.15,0.6,0.4,0.1,162215,0.9310396108212714,0.3039393939393939,6.485759841296266,0.6520810278232667,5
S1,2,1.0,0.5555555555555556,0.0,6.0,2.2,0.5283992413295671,S,0.75,0.15,0.6,0.4,0.1,2951145736,0.9000000000000012,0.2982828282828282,9.710787278709867,1.402560442108782,5
S1,3,1.0,0.28888888888888886,0.0,7.0,2.0,0.39935472029716157,S,0.75,0.15,0.6,0.4,0.1,3141226789,0.93379851461999,0.2949494949494949,2.1478154455795515,0.2130796132578907,5
S1,4,1.0,0.4,0.0,6.0,2.0,0.6678362620889076,S,0.75,0.15,0.6,0.4,0.1,827407145,0.8999999999999954,0.3008080808080808,7.076960115364804,0.9680042035088212,5
S1,5,1.0,0.4444444444444445,0.0,6.8,2.0,0.6221414785087023,S,0.75,0.15,0.6,0.4,0.1,4112232398,0.9277264547307948,0.2957575757575758,6.193727294931147,0.6641775294543393,5
S1,6,1.0,0.5555555555555556,0.0,6.0,2.2,0.5936221488170949,S,0.75,0.15,0.6,0.4,0.1,3620073301,0.899999999999999,0.2952525252525252,11.440018053613894,1.6359493888759633,5
S1,7,1.0,0.5555555555555556,0.0,6.0,2.0,0.5111108085036362,S,0.75,0.15,0.6,0.4,0.1,2175964406,0.8999999999999976,0.2975757575757575,9.552270255425572,1.4968113832246497,5
S1,8,1.0,0.4222222222222222,0.0,6.0,2.0,0.5623180864573228,S,0.75,0.15,0.6,0.4,0.1,1271978911,0.9000000000000008,0.3032323232323232,6.975603752040361,0.9719598993561752,5
S1,9,1.0,0.4444444444444445,0.0,6.8,2.0,0.6985540205199741,S,0.75,0.15,0.6,0.4,0.1,2148785807,0.9147457387008028,0.2957575757575758,8.099074939377607,0.9841556520672876,5
S1,10,1.0,0.4666666666666666,0.0,7.0,2.0,0.6033913050137685,S,0.75,0.15,0.6,0.4,0.1,3128250985,0.9000000000000005,0.2941414141414141,7.94754281874601,1.0613189518926187,5
S1,11,1.0,0.4444444444444445,0.0,6.0,2.0,0.6087895885585379,S,0.75,0.15,0.6,0.4,0.1,3723452138,0.899999999999996,0.2935353535353535,8.684422724396136,1.2616498706581367,5
S1,12,1.0,0.5555555555555556,0.0,6.0,2.0,0.5544921608166952,S,0.75,0.15,0.6,0.4,0.1,2557843024,0.9000000000000015,0.294040404040404,7.583794921976847,1.1723851242841712,5
S1,13,0.0,0.0,0.0,6.4,2.0,0.1519623084446001,S,0.75,0.15,0.6,0.4,0.1,349997695,0.9537609027406924,0.2898989898989899,5.050101941947638,0.3663744039018448,5
S1,14,1.0,0.5555555555555556,0.0,6.0,2.4,0.49862686618517343,S,0.75,0.15,0.6,0.4,0.1,3902369840,0.8999999999999987,0.2921212121212121,5.507045323465579,0.8223943213453215,5
S1,16,0.8,0.2444444444444444,0.0,7.0,2.0,0.5905290449887843,S,0.75,0.15,0.6,0.4,0.1,587737673,0.9546847305752216,0.2907070707070707,3.785099542012768,0.2672331847571187,5
S1,17,0.6,0.2444444444444444,0.0,7.0,2.0,0.49293209158799006,S,0.75,0.15,0.6,0.4,0.1,1621160096,0.9678756691505512,0.2902020202020202,-2.0546846692855247,-0.1041763217622214,5
S1,18,1.0,0.5555555555555556,0.0,6.0,2.0,0.5176381449299645,S,0.75,0.15,0.6,0.4,0.1,3367057627,0.9000000000000034,0.292020202020202,9.925315181539135,1.4199447797465334,5
S1,19,1.0,0.5555555555555556,0.4,5.6,2.0,0.553641039786428,S,0.75,0.15,0.6,0.4,0.1,2147057047,0.8999999999999995,0.2921212121212121,9.320128088048564,1.433081480527001,5
S2,0,1.0,0.2444444444444444,0.0,7.0,2.0,0.3787769021196171,S,0.6,0.2,0.4,0.4,0.1,3674827978,0.9491714691624382,0.2982828282828282,1.8322576755289577,0.1147737808118358,5
S2,1,1.0,0.22222222222222224,0.0,7.0,2.0,0.5650852273814394,S,0.6,0.2,0.4,0.4,0.1,162215,0.9354270372311658,0.3018181818181818,2.386030325623988,0.1698728525662238,5
S2,2,1.0,0.37777777777777777,0.0,6.0,2.0,0.4320387370826267,S,0.6,0.2,0.4,0.4,0.1,2951145736,0.9000000000000018,0.3031313131313131,7.386081984446726,0.7986404507653695,5
S2,3,0.0,0.0,0.0,7.0,2.0,0.23085503561978463,S,0.6,0.2,0.4,0.4,0.1,3141226789,0.9364143913374492,0.295959595959596,-1.6655565466478457,-0.1198824712828369,5
S2,4,1.0,0.26666666666666666,0.0,6.2,2.0,0.5110869564409828,S,0.6,0.2,0.4,0.4,0.1,827407145,0.9039811773813436,0.3037373737373737,3.8203484282750257,0.3615190301190176,5
S2,5,0.0,0.0,0.0,7.0,2.0,0.1370618193436207,S,0.6,0.2,0.4,0.4,0.1,4112232398,0.9631283646361084,0.2951515151515151,-7.582585179121024,-0.3282259764333531,5
S2,6,1.0,0.22222222222222224,0.0,6.0,2.0,0.5179528515247229,S,0.6,0.2,0.4,0.4,0.1,3620073301,0.8999999999999998,0.2960606060606061,9.090844540947495,0.9731085846262674,5
S2,7,1.0,0.4,0.0,6.0,2.0,0.6833804497724577,S,0.6,0.2,0.4,0.4,0.1,2175964406,0.9000000000000049,0.2988888888888888,7.419337694426176,0.8713585047443881,5
S2,8,1.0,0.3555555555555555,0.0,6.0,2.0,0.4064077156582444,S,0.6,0.2,0.4,0.4,0.1,1271978911,0.9000000000000006,0.3065656565656565,5.539118235605246,0.64308683041912,5
S2,9,0.4,0.08888888888888888,0.0,7.0,2.0,0.30798710358920933,S,0.6,0.2,0.4,0.4,0.1,2148785807,0.9465829531275192,0.3034343434343434,0.1493455576656792,0.0092307163111916,5
S2,10,1.0,0.26666666666666666,0.0,7.0,2.0,0.47741291638242445,S,0.6,0.2,0.4,0.4,0.1,3128250985,0.9161796397997884,0.2953535353535353,4.08308268604566,0.3596534725626176,5
S2,11,1.0,0.28888888888888886,0.0,6.0,2.0,0.5606877361328069,S,0.6,0.2,0.4,0.4,0.1,3723452138,0.8999999999999991,0.2953535353535353,7.311702816609698,0.8856115863165598,5
S2,12,1.0,0.4444444444444445,0.0,6.0,2.0,0.36677293962476576,S,0.6,0.2,0.4,0.4,0.1,2557843024,0.8999999999999981,0.2948484848484848,5.344420032811067,0.6137322847633331,5
S2,13,0.0,0.0,0.0,7.0,2.0,0.26037212763443873,S,0.6,0.2,0.4,0.4,0.1,349997695,0.9402200677397474,0.2896969696969697,4.610303524965488,0.3241262216735711,5
S2,14,1.0,0.4222222222222222,0.0,6.0,2.0,0.3928610388691036,S,0.6,0.2,0.4,0.4,0.1,3902369840,0.8999999999999981,0.2958585858585859,3.214869075285968,0.3576633993467163,5
S2,16,1.0,0.22222222222222224,0.0,6.8,2.0,0.5737705272306494,S,0.6,0.2,0.4,0.4,0.1,587737673,0.9105366630612796,0.2891919191919191,6.745550810443628,0.6020887971315207,5
S2,17,0.2,0.04444444444444444,0.0,7.0,2.0,0.2620234834554997,S,0.6,0.2,0.4,0.4,0.1,1621160096,0.9600262345961936,0.2944444444444444,-3.730623233280795,-0.1743356566178747,5
S2,18,1.0,0.2444444444444444,0.0,6.8,2.0,0.4860842909809865,S,0.6,0.2,0.4,0.4,0.1,3367057627,0.9206675185208728,0.2932323232323232,4.420907542861745,0.3538328744875425,5
S2,19,1.0,0.5555555555555556,0.0,6.0,2.0,0.39094061407427494,S,0.6,0.2,0.4,0.4,0.1,2147057047,0.8999999999999999,0.2887878787878788,7.436145529607716,0.8865704731390077,5
S3,0,0.0,0.0,0.0,6.0,2.0,0.18364940471074648,S,0.45,0.25,0.2,0.4,0.1,3674827978,0.9000000000000041,0.2912121212121212,4.677576371158974,0.3565562866543435,5
S3,1,0.0,0.0,0.0,7.0,2.0,0.022629293512758903,S,0.45,0.25,0.2,0.4,0.1,162215,0.9746933287371288,0.3004040404040404,-45.30400957037,-0.7338343356020545,5
S3,4,0.0,0.0,0.0,7.0,3.0,0.0078322823641092,S,0.45,0.25,0.2,0.4,0.1,827407145,0.9310100792230028,0.3021212121212121,-12.99060025076448,-0.4744828880273125,5
S3,5,0.0,0.0,0.0,7.0,2.0,0.0267899495710671,S,0.45,0.25,0.2,0.4,0.1,4112232398,0.9361181569096626,0.2987878787878787,-10.797021808392936,-0.410281077208926,5
S3,6,0.0,0.0,0.0,7.0,2.2,0.08469170652082822,S,0.45,0.25,0.2,0.4,0.1,3620073301,0.9973995469947728,0.2931313131313131,-515.9464974163178,-0.9655059491714864,5
S3,7,1.0,0.11111111111111112,0.0,6.0,2.2,0.42844975519786005,S,0.45,0.25,0.2,0.4,0.1,2175964406,0.900000000000005,0.2948484848484848,0.6083759832869404,0.0396966108585842,5
S3,8,0.0,0.0,0.0,6.0,2.2,0.18342796762261576,S,0.45,0.25,0.2,0.4,0.1,1271978911,0.9000000000000002,0.3076767676767676,-1.7404080427230664,-0.1095088357671031,5
S3,9,0.0,0.0,0.0,7.0,2.0,0.033700470236658495,S,0.45,0.25,0.2,0.4,0.1,2148785807,0.9050657707820282,0.3018181818181818,-7.556372582846759,-0.3163659248239091,5
S3,10,0.4,0.08888888888888888,0.0,7.0,2.0,0.2959434588867,S,0.45,0.25,0.2,0.4,0.1,3128250985,0.8999999999999996,0.2976767676767676,0.0773120866382424,0.0050337994523856,5
S3,11,0.0,0.0,0.0,7.0,2.4,0.0070348292831297,S,0.45,0.25,0.2,0.4,0.1,3723452138,0.9449537363903152,0.2941414141414141,-13.993988575409,-0.4733808488749423,5
S3,12,0.0,0.0,0.0,7.0,2.0,0.07452949794133476,S,0.45,0.25,0.2,0.4,0.1,2557843024,0.8999999999999972,0.2928282828282828,-2.836868564285762,-0.1679678686905579,5
S3,13,0.2,0.02222222222222222,0.0,7.0,2.0,0.26716685125701184,S,0.45,0.25,0.2,0.4,0.1,349997695,0.9075514240229818,0.2926262626262626,2.043829414796818,0.1217270509190476,5
S3,14,0.4,0.08888888888888888,0.0,6.8,2.0,0.1996386340061091,S,0.45,0.25,0.2,0.4,0.1,3902369840,0.9000000000000009,0.2981818181818181,-3.973560685304008,-0.2456308317206985,5
S3,15,0.0,0.0,0.0,7.0,2.0,0.09205587503541017,S,0.45,0.25,0.2,0.4,0.1,883069729,0.9323737941059368,0.2929292929292929,-6.319964289642337,-0.2933246939577293,5
S3,16,0.4,0.04444444444444444,0.0,6.0,2.0,0.4345730204470385,S,0.45,0.25,0.2,0.4,0.1,587737673,0.9000000000000017,0.295959595959596,4.914221574014409,0.3770046251202899,5
