r_used,branch,n_replications_planned_in_files,failure_rate_n,failure_rate_mean,failure_rate_sd,failure_rate_mcse,failure_rate_ci95_low,failure_rate_ci95_high,success_coverage_n,success_coverage_mean,success_coverage_sd,success_coverage_mcse,success_coverage_ci95_low,success_coverage_ci95_high,MSPE_complete_n,MSPE_complete_mean,MSPE_complete_sd,MSPE_complete_mcse,MSPE_complete_ci95_low,MSPE_complete_ci95_high,MSPE_conditional_n,MSPE_conditional_mean,MSPE_conditional_sd,MSPE_conditional_mcse,MSPE_conditional_ci95_low,MSPE_conditional_ci95_high,ARI_coverage_n,ARI_coverage_mean,ARI_coverage_sd,ARI_coverage_mcse,ARI_coverage_ci95_low,ARI_coverage_ci95_high,mean_ARI_conditional_n,mean_ARI_conditional_mean,mean_ARI_conditional_sd,mean_ARI_conditional_mcse,mean_ARI_conditional_ci95_low,mean_ARI_conditional_ci95_high,mean_d_hat_n,mean_d_hat_mean,mean_d_hat_sd,mean_d_hat_mcse,mean_d_hat_ci95_low,mean_d_hat_ci95_high,Pr_d_hat_equals_K_true_within_n,Pr_d_hat_equals_K_true_within_mean,Pr_d_hat_equals_K_true_within_sd,Pr_d_hat_equals_K_true_within_mcse,Pr_d_hat_equals_K_true_within_ci95_low,Pr_d_hat_equals_K_true_within_ci95_high,actual_spectral_radius_n,actual_spectral_radius_mean,actual_spectral_radius_sd,actual_spectral_radius_mcse,actual_spectral_radius_ci95_low,actual_spectral_radius_ci95_high
1,primary_fixed_K,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.145890282698948,0.03514792344526466,0.00785931460915704,2.12944054817082,2.1623400172270757,20,2.145890282698948,0.03514792344526466,0.00785931460915704,2.12944054817082,2.1623400172270757,20,1.0,0.0,0.0,1.0,1.0,20,0.010865938454717474,0.014141417840916819,0.003162117159051831,0.0042475511779648725,0.017484325731470074,20,5.474248496993988,0.49931295283301086,0.11164977045807584,5.240562841756074,5.7079341522319025,20,0.05440881763527054,0.14969999182352317,0.03347393579485605,-0.01565293517908095,0.12447057044962204,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
1,robustness_K_equals_d_hat,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.16440130206465,0.03932514211835168,0.008793369100147445,2.145996569018751,2.182806035110549,20,2.16440130206465,0.03932514211835168,0.008793369100147445,2.145996569018751,2.182806035110549,20,1.0,0.0,0.0,1.0,1.0,20,0.007981194072961832,0.013228921741385971,0.0029580768282763924,0.0017898681165916417,0.01417252002933202,20,5.474248496993988,0.49931295283301086,0.11164977045807584,5.240562841756074,5.7079341522319025,20,0.05440881763527054,0.14969999182352317,0.03347393579485605,-0.01565293517908095,0.12447057044962204,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
2,primary_fixed_K,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.0700619591398315,0.0380222882935224,0.008502042128441056,2.0522669804534117,2.0878569378262513,20,2.0700619591398315,0.0380222882935224,0.008502042128441056,2.0522669804534117,2.0878569378262513,20,1.0,0.0,0.0,1.0,1.0,20,0.026509026155082927,0.022109543380315642,0.004943844194986626,0.016161441333729265,0.03685661097643659,20,4.975450901803607,0.060798046045490335,0.013594856385687866,4.946996540372137,5.003905263235078,20,0.024549098196392782,0.06079804604549027,0.013594856385687852,-0.0039052632350776717,0.053003459627863236,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
2,robustness_K_equals_d_hat,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.0765290555426352,0.039888592777802795,0.00891936049779742,2.0578606194708065,2.095197491614464,20,2.0765290555426352,0.039888592777802795,0.00891936049779742,2.0578606194708065,2.095197491614464,20,1.0,0.0,0.0,1.0,1.0,20,0.016072144963069936,0.015452001404007163,0.0034551725527782206,0.008840385697973917,0.023303904228165955,20,4.975450901803607,0.060798046045490335,0.013594856385687866,4.946996540372137,5.003905263235078,20,0.024549098196392782,0.06079804604549027,0.013594856385687852,-0.0039052632350776717,0.053003459627863236,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
3,primary_fixed_K,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.0054084671990138,0.033357971840813606,0.007459069262758302,1.9897964558085632,2.021020478589464,20,2.0054084671990138,0.033357971840813606,0.007459069262758302,1.9897964558085632,2.021020478589464,20,1.0,0.0,0.0,1.0,1.0,20,0.07215028046819419,0.04825243953471266,0.010789573487981582,0.049567443621043074,0.09473311731534531,20,4.0,0.0,0.0,4.0,4.0,20,1.0,0.0,0.0,1.0,1.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
3,robustness_K_equals_d_hat,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,2.0054084671990138,0.033357971840813606,0.007459069262758302,1.9897964558085632,2.021020478589464,20,2.0054084671990138,0.033357971840813606,0.007459069262758302,1.9897964558085632,2.021020478589464,20,1.0,0.0,0.0,1.0,1.0,20,0.07215028046819419,0.04825243953471266,0.010789573487981582,0.049567443621043074,0.09473311731534531,20,4.0,0.0,0.0,4.0,4.0,20,1.0,0.0,0.0,1.0,1.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
4,primary_fixed_K,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,1.9260442348416518,0.030231215982490334,0.006759905397932648,1.9118955902382544,1.9401928794450491,20,1.9260442348416518,0.030231215982490334,0.006759905397932648,1.9118955902382544,1.9401928794450491,20,1.0,0.0,0.0,1.0,1.0,20,0.2373688327265251,0.10271254277365227,0.022967222778374125,0.18929788298843467,0.28543978246461554,20,3.0,0.0,0.0,3.0,3.0,20,0.0,0.0,0.0,0.0,0.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
4,robustness_K_equals_d_hat,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,1.930112940434412,0.03053377688262876,0.006827560071936952,1.9158226929709306,1.9444031878978933,20,1.930112940434412,0.03053377688262876,0.006827560071936952,1.9158226929709306,1.9444031878978933,20,1.0,0.0,0.0,1.0,1.0,20,0.211850514364838,0.12103227843459102,0.027063640205142736,0.1552056644156237,0.26849536431405235,20,3.0,0.0,0.0,3.0,3.0,20,0.0,0.0,0.0,0.0,0.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
5,primary_fixed_K,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,1.901097095951362,0.02678672001178982,0.0059896926840616,1.8885605250851079,1.9136336668176162,20,1.901097095951362,0.02678672001178982,0.0059896926840616,1.8885605250851079,1.9136336668176162,20,1.0,0.0,0.0,1.0,1.0,20,0.6398981948421978,0.049240798819352186,0.011010577342646287,0.6168527916111165,0.6629435980732791,20,2.0511022044088176,0.13305561620769174,0.02975214026285215,1.9888302591685394,2.1133741496490956,20,0.0,0.0,0.0,0.0,0.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
5,robustness_K_equals_d_hat,20,20,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,1.0,20,1.9260154252665287,0.025304916729617866,0.005658351397239721,1.9141723596838114,1.937858490849246,20,1.9260154252665287,0.025304916729617866,0.005658351397239721,1.9141723596838114,1.937858490849246,20,1.0,0.0,0.0,1.0,1.0,20,0.332302245741972,0.03818641934188074,0.008538742946575811,0.3144304513603799,0.35017404012356407,20,2.0511022044088176,0.13305561620769174,0.02975214026285215,1.9888302591685394,2.1133741496490956,20,0.0,0.0,0.0,0.0,0.0,20,0.9129335703075142,0.01761366913176346,0.00393853615118128,0.9046901194039353,0.9211770212110931
