branch,r_used,reference_r,metric,n_pairs,mean_paired_difference,sd_paired_difference,mcse,ci95_low,ci95_high
primary_fixed_K,1,5,MSPE_complete,20,0.24479318674758663,0.019777027203110226,0.0044222777219017,0.2355372531003726,0.25404912039480065
primary_fixed_K,1,5,MSPE_conditional,20,0.24479318674758663,0.019777027203110226,0.0044222777219017,0.2355372531003726,0.25404912039480065
primary_fixed_K,1,5,mean_ARI_conditional,20,-0.6290322563874805,0.055361819124351834,0.012379279092009858,-0.6549423853032904,-0.6031221274716706
primary_fixed_K,1,5,mean_d_hat,20,3.4231462925851703,0.5748903327031996,0.12854938635318247,3.154089334768538,3.6922032504018025
primary_fixed_K,2,5,MSPE_complete,20,0.16896486318846948,0.02108515737911217,0.004714784521597611,0.15909670577341392,0.17883302060352504
primary_fixed_K,2,5,MSPE_conditional,20,0.16896486318846948,0.02108515737911217,0.004714784521597611,0.15909670577341392,0.17883302060352504
primary_fixed_K,2,5,mean_ARI_conditional,20,-0.613389168687115,0.05034680514209565,0.011257887874766183,-0.6369521988108318,-0.5898261385633983
primary_fixed_K,2,5,mean_d_hat,20,2.9243486973947896,0.16735551022948286,0.03742182972822851,2.8460239076136373,3.002673487175942
primary_fixed_K,3,5,MSPE_complete,20,0.10431137124765184,0.016242980853496788,0.0036320409345646366,0.0967094222050126,0.1119133202902911
primary_fixed_K,3,5,MSPE_conditional,20,0.10431137124765184,0.016242980853496788,0.0036320409345646366,0.0967094222050126,0.1119133202902911
primary_fixed_K,3,5,mean_ARI_conditional,20,-0.5677479143740036,0.06872069871531836,0.01536641537887343,-0.5999101913920147,-0.5355856373559925
primary_fixed_K,3,5,mean_d_hat,20,1.9488977955911824,0.13305561620769174,0.02975214026285215,1.8866258503509041,2.0111697408314604
primary_fixed_K,4,5,MSPE_complete,20,0.02494713889029033,0.012815567876735684,0.0028656480942643634,0.01894926849752582,0.030945009283054842
primary_fixed_K,4,5,MSPE_conditional,20,0.02494713889029033,0.012815567876735684,0.0028656480942643634,0.01894926849752582,0.030945009283054842
primary_fixed_K,4,5,mean_ARI_conditional,20,-0.4025293621156729,0.10598498205034505,0.023698962445866657,-0.4521318605793899,-0.3529268636519559
primary_fixed_K,4,5,mean_d_hat,20,0.9488977955911823,0.13305561620769174,0.02975214026285215,0.8866258503509041,1.0111697408314604
primary_fixed_K,5,5,MSPE_complete,20,0.0,0.0,0.0,0.0,0.0
primary_fixed_K,5,5,MSPE_conditional,20,0.0,0.0,0.0,0.0,0.0
primary_fixed_K,5,5,mean_ARI_conditional,20,0.0,0.0,0.0,0.0,0.0
primary_fixed_K,5,5,mean_d_hat,20,0.0,0.0,0.0,0.0,0.0
primary_fixed_K,6,5,MSPE_complete,20,0.02059994211188727,0.01515151093230888,0.003387980840647387,0.01350881671653796,0.02769106750723658
primary_fixed_K,6,5,MSPE_conditional,20,0.02059994211188727,0.01515151093230888,0.003387980840647387,0.01350881671653796,0.02769106750723658
primary_fixed_K,6,5,mean_ARI_conditional,20,-0.34739499603530477,0.036984297430629816,0.008269940315495907,-0.3647041800441584,-0.33008581202645115
primary_fixed_K,6,5,mean_d_hat,20,-0.3159318637274549,0.39027050439545813,0.08726713774413748,-0.49858408218529393,-0.13327964526961592
primary_fixed_K,7,5,MSPE_complete,20,0.0034272764947397283,0.00824538766378161,0.0018437247317053859,-0.0004316837184270652,0.007286236707906521
primary_fixed_K,7,5,MSPE_conditional,20,0.0034272764947397283,0.00824538766378161,0.0018437247317053859,-0.0004316837184270652,0.007286236707906521
primary_fixed_K,7,5,mean_ARI_conditional,20,-0.6151750048795712,0.05709576331629413,0.01276700080024725,-0.6418966446571382,-0.5884533651020042
primary_fixed_K,7,5,mean_d_hat,20,0.23286573146292575,0.32040955132213933,0.07164575373965111,0.0829094454896252,0.3828220174362263
primary_fixed_K,8,5,MSPE_complete,20,0.004533638617794955,0.008535211788497796,0.0019085313761438628,0.0005390365389329457,0.008528240696656964
primary_fixed_K,8,5,MSPE_conditional,20,0.004533638617794955,0.008535211788497796,0.0019085313761438628,0.0005390365389329457,0.008528240696656964
primary_fixed_K,8,5,mean_ARI_conditional,20,-0.6284102725517908,0.051226316863446746,0.011454552674361074,-0.652384926831715,-0.6044356182718666
primary_fixed_K,8,5,mean_d_hat,20,0.2812625250501001,0.30360992959172556,0.06788924412110232,0.13916870406903817,0.423356346031162
primary_fixed_K,9,5,MSPE_complete,20,0.005698644080079529,0.008735522600377528,0.001953322235342988,0.001610293655496137,0.009786994504662921
primary_fixed_K,9,5,MSPE_conditional,20,0.005698644080079529,0.008735522600377528,0.001953322235342988,0.001610293655496137,0.009786994504662921
primary_fixed_K,9,5,mean_ARI_conditional,20,-0.6327826874614698,0.0487506773228495,0.010900982844304895,-0.6555987067712917,-0.6099666681516479
primary_fixed_K,9,5,mean_d_hat,20,0.34058116232464924,0.3500420067014312,0.07827177219648371,0.17675646033624495,0.5044058643130536
robustness_K_equals_d_hat,1,5,MSPE_complete,20,0.23838587679812123,0.025925848478513928,0.0057971959572316635,0.22625220621151704,0.2505195473847254
robustness_K_equals_d_hat,1,5,MSPE_conditional,20,0.23838587679812123,0.025925848478513928,0.0057971959572316635,0.22625220621151704,0.2505195473847254
robustness_K_equals_d_hat,1,5,mean_ARI_conditional,20,-0.3243210516690101,0.03288590459965934,0.007353511818641128,-0.33971212878980145,-0.30892997454821874
robustness_K_equals_d_hat,1,5,mean_d_hat,20,3.4231462925851703,0.5748903327031996,0.12854938635318247,3.154089334768538,3.6922032504018025
robustness_K_equals_d_hat,2,5,MSPE_complete,20,0.15051363027610648,0.02534314309481064,0.0056668990723500985,0.13865267420377386,0.1623745863484391
